application_id,age,income,employment_years,loan_amount,term_months,existing_debt,dti,prior_defaults,inquiries_6m,purpose,region,defaulted_12m
A200119,40,37294,2.1,20164,60,16404,0.3281,0,0,home_improvement,central,1
A200120,21,150850,13.1,21313,24,4190,0.0845,0,1,education,north,0
A200121,29,69022,2.5,13033,48,12516,0.1379,0,1,debt_consolidation,south,0
A200122,59,58860,15.3,3710,12,10788,0.1547,0,0,debt_consolidation,east,0
A200123,56,28153,4.6,8749,12,11899,0.5221,0,1,debt_consolidation,south,0
A200124,45,39796,9.2,8554,24,8650,0.2162,0,3,debt_consolidation,east,0
A200125,44,61636,5.0,5851,36,15926,0.1608,0,1,car,north,0
A200126,35,74554,9.4,5120,36,2067,0.0368,1,0,home_improvement,east,0
A200127,36,23622,3.8,9132,48,4438,0.1906,0,2,car,south,0
A200128,21,24544,1.8,8600,60,628,0.0829,0,4,home_improvement,central,0
A200129,45,128079,5.5,3393,36,1006,0.0128,0,5,car,south,0
A200130,35,74215,4.7,9359,60,33761,0.2527,1,3,other,east,0
A200131,29,42223,3.7,25127,36,12046,0.341,1,0,education,east,0
A200132,24,28606,3.1,5985,60,1648,0.0706,0,2,education,south,0
A200133,45,35422,2.2,6223,12,15725,0.3976,0,0,debt_consolidation,central,0
A200134,34,21855,10.3,9327,24,2534,0.2714,0,4,car,east,0
A200135,36,47868,6.1,18222,60,8734,0.1674,0,0,debt_consolidation,north,0
A200136,48,50596,2.0,14959,24,17214,0.3179,1,0,debt_consolidation,north,1
A200137,34,73956,1.6,8397,12,2783,0.1324,0,1,home_improvement,south,0
A200138,52,19493,4.1,6080,60,7268,0.2488,0,1,debt_consolidation,south,0
A200139,51,55093,4.8,8828,24,13944,0.2067,0,1,debt_consolidation,south,0
A200140,49,35992,5.0,8157,48,1186,0.0731,0,0,home_improvement,north,0
A200141,29,37451,1.2,10349,24,2929,0.1773,0,3,debt_consolidation,central,0
A200142,35,98353,2.2,8967,48,1349,0.0297,0,0,debt_consolidation,south,0
A200143,37,82952,0.3,15191,48,5780,0.0806,0,3,other,south,0
A200144,26,110012,3.7,3328,24,4195,0.0342,0,4,car,east,0
A200145,41,75417,4.8,7249,24,9074,0.1082,1,0,car,east,0
A200146,37,47833,5.5,11944,12,10688,0.3614,0,5,education,north,0
A200147,21,29563,7.9,6527,60,6404,0.1525,0,1,debt_consolidation,central,0
A200148,30,37795,4.2,7116,60,31676,0.4567,1,2,debt_consolidation,central,1
A200149,41,40083,2.0,30095,60,11125,0.2889,2,4,home_improvement,central,1
A200150,39,111685,5.4,6751,48,1593,0.0222,1,2,debt_consolidation,south,0
A200151,49,19675,8.8,14179,48,24444,0.8014,0,0,car,north,0
A200152,35,70033,0.8,4410,60,24358,0.1865,0,1,home_improvement,central,0
A200153,35,52263,5.1,12874,24,5384,0.1747,0,5,debt_consolidation,east,0
A200154,46,116515,5.8,18683,48,1612,0.047,0,4,car,north,0
A200155,68,42122,1.0,2692,48,6341,0.0912,0,1,debt_consolidation,central,0
A200156,36,59065,4.7,7352,48,14951,0.1577,0,2,car,east,0
A200157,21,41216,1.0,6383,60,6151,0.1056,0,0,debt_consolidation,north,0
A200158,28,100074,0.9,10299,12,939,0.1076,0,2,debt_consolidation,south,0
A200159,38,73086,4.3,4435,60,1756,0.0241,0,0,other,east,0
A200160,31,56697,6.5,16080,48,1544,0.0845,1,1,education,central,1
A200161,21,47428,8.8,10311,36,31114,0.4005,0,0,medical,north,1
A200162,44,22434,2.1,5044,48,1972,0.1002,0,0,debt_consolidation,north,0
A200163,42,49623,10.1,8120,24,2740,0.1094,0,0,education,east,0
A200164,38,27303,7.1,24945,24,30570,1.0166,0,2,other,east,0
A200165,30,35718,4.9,19513,48,12096,0.3059,0,1,car,central,0
A200166,25,33322,3.8,10926,24,3951,0.2232,0,1,debt_consolidation,north,0
A200167,43,61435,4.5,17107,36,10420,0.1776,0,1,education,north,0
A200168,24,53951,13.1,6001,48,34308,0.3458,0,0,debt_consolidation,north,0
A200169,38,28136,4.1,8381,36,4562,0.1804,0,1,home_improvement,north,0
A200170,48,81927,1.7,5037,48,6545,0.0553,0,1,other,south,0
A200171,41,48418,4.1,9673,24,2688,0.1276,0,0,debt_consolidation,south,0
A200172,40,44732,9.5,7119,36,1096,0.0653,0,1,debt_consolidation,east,0
A200173,33,21150,14.6,15707,36,1558,0.2844,0,0,debt_consolidation,central,0
A200174,62,27862,0.9,8001,12,1721,0.318,0,0,debt_consolidation,central,0
A200175,57,40858,1.8,13030,36,1193,0.1209,0,4,other,central,0
A200176,37,112707,2.1,22089,36,2097,0.0746,0,1,car,east,0
A200177,53,81295,1.8,22217,24,14733,0.2273,0,1,car,central,0
A200178,48,61976,9.2,11823,48,10774,0.1346,0,2,home_improvement,east,0
A200179,50,102753,4.5,6367,48,13322,0.0803,0,0,education,east,0
A200180,30,46696,11.9,15135,48,1538,0.0975,2,1,debt_consolidation,south,0
A200181,42,134265,6.2,10498,60,14272,0.0688,0,0,home_improvement,east,0
A200182,46,20219,12.5,12473,36,14335,0.5601,1,0,debt_consolidation,east,0
A200183,45,26124,9.3,7587,12,3677,0.3608,0,0,medical,central,0
A200184,38,57944,4.9,13847,24,45803,0.5147,2,0,education,south,1
A200185,32,25508,1.4,12924,48,4401,0.2129,0,2,home_improvement,north,0
A200186,55,90197,3.8,7031,48,4411,0.0439,0,3,home_improvement,central,0
A200187,50,65006,10.5,6942,36,27545,0.2475,0,3,home_improvement,east,0
A200188,25,54267,5.4,14393,24,978,0.1416,1,0,home_improvement,south,0
A200189,51,28243,2.4,8211,36,15148,0.3651,0,5,home_improvement,central,1
A200190,35,106288,9.9,11187,24,1961,0.0619,0,0,other,south,0
A200191,39,44135,8.7,5912,24,2203,0.0919,0,1,debt_consolidation,central,0
A200192,32,53120,10.8,50090,60,1093,0.1989,0,1,debt_consolidation,north,0
A200193,37,26064,2.5,13439,24,8186,0.4148,0,0,debt_consolidation,east,0
A200194,21,24458,6.0,5711,48,6422,0.1897,0,1,car,central,0
A200195,36,106770,4.8,6556,24,9992,0.0775,0,1,home_improvement,north,0
A200196,36,26317,8.8,7731,60,10708,0.2622,1,0,medical,north,0
A200197,50,26939,2.7,8264,48,10082,0.2638,1,0,education,south,0
A200198,47,25804,1.2,9493,36,7252,0.2632,1,3,home_improvement,central,0
A200199,29,35159,10.0,26393,36,5790,0.3326,1,5,home_improvement,north,1
A200200,39,111115,11.6,7222,60,3850,0.0303,0,0,education,south,0
A200201,34,31908,4.5,11916,60,981,0.0901,0,1,education,south,0
A200202,22,33655,9.9,10066,24,2857,0.192,0,0,home_improvement,east,0
A200203,29,33526,7.2,8636,48,9927,0.2124,0,1,debt_consolidation,north,1
A200204,21,25407,12.1,5257,36,598,0.0807,0,1,other,central,0
A200205,51,31461,2.4,13033,48,15128,0.344,0,1,debt_consolidation,north,0
A200206,28,127768,6.4,8167,48,2197,0.0246,1,1,car,north,0
A200207,29,99823,11.0,14100,60,7169,0.0642,0,4,education,north,0
A200208,38,93414,3.0,11923,12,6684,0.1634,1,4,medical,south,1
A200209,30,101029,9.4,6535,12,4315,0.086,0,3,medical,south,0
A200210,48,58764,4.7,10694,60,4881,0.0779,0,1,debt_consolidation,east,0
A200211,38,36915,6.4,5635,36,4775,0.1156,0,2,other,north,0
A200212,41,48818,4.5,11531,36,3170,0.1112,0,4,debt_consolidation,east,0
A200213,42,47671,6.9,7700,24,1432,0.0958,0,3,education,east,0
A200214,26,20340,4.5,3516,36,3221,0.1368,0,0,home_improvement,south,0
A200215,43,34613,6.5,5624,12,618,0.1714,0,2,car,north,0
A200216,38,52929,4.5,6604,12,3849,0.1611,0,2,home_improvement,south,0
A200217,40,240000,3.2,7776,36,13840,0.0396,0,3,car,south,0
A200218,30,94605,2.8,17710,24,2531,0.107,0,2,medical,east,0
A200219,42,40001,1.2,5434,48,15712,0.2304,0,0,education,east,0
A200220,45,34631,2.4,5676,24,20600,0.3794,0,1,debt_consolidation,east,0
A200221,51,25412,13.4,17689,60,11609,0.3676,0,1,other,east,0
A200222,38,103947,1.9,9411,12,14164,0.1587,0,0,debt_consolidation,south,0
A200223,33,46255,10.0,13749,12,4610,0.3471,0,1,debt_consolidation,east,0
A200224,42,106954,1.1,9726,24,15619,0.1185,0,0,education,east,0
A200225,35,47459,5.0,8512,36,1692,0.0776,0,2,home_improvement,east,0
A200226,32,77367,2.6,4904,48,2757,0.0337,0,5,car,east,0
A200227,48,70271,3.0,8420,24,2503,0.0777,0,3,education,south,0
A200228,54,34122,6.1,3939,60,2710,0.0628,0,0,debt_consolidation,central,0
A200229,40,24478,18.6,13844,24,3488,0.354,0,2,car,north,0
A200230,51,63345,6.1,4961,24,9561,0.1146,0,0,other,south,0
A200231,23,22341,1.6,60000,48,1464,0.7042,0,0,car,north,0
A200232,47,59938,4.4,10980,36,28294,0.2971,2,2,debt_consolidation,north,0
A200233,33,26075,3.5,8582,12,1433,0.3566,0,2,debt_consolidation,east,1
A200234,29,30721,3.8,5056,36,13702,0.2779,0,1,debt_consolidation,east,0
A200235,37,101039,0.2,14847,12,3822,0.1659,0,0,debt_consolidation,east,1
A200236,33,69100,10.6,8002,24,9566,0.1271,0,3,home_improvement,north,0
A200237,32,74237,13.4,24455,36,1346,0.1189,0,1,home_improvement,central,0
A200238,56,36259,3.3,8327,12,801,0.2407,1,4,debt_consolidation,central,1
A200239,24,71540,11.3,5462,60,687,0.0201,0,2,debt_consolidation,south,0
A200240,53,39619,1.6,10650,24,13975,0.3108,0,0,medical,north,0
A200241,38,47612,2.6,9746,48,35845,0.4276,0,1,car,central,0
A200242,51,55302,1.7,9707,60,9871,0.1244,0,0,other,south,0
A200243,42,26263,4.1,6994,48,25067,0.5438,0,0,debt_consolidation,south,0
A200244,38,83020,2.1,7401,60,10751,0.0826,0,1,home_improvement,central,0
A200245,62,91003,5.3,12613,60,20480,0.1402,0,1,debt_consolidation,east,0
A200246,31,46969,2.5,6853,12,4143,0.19,1,0,debt_consolidation,east,1
A200247,45,16257,3.0,5839,12,2735,0.4433,1,1,medical,east,0
A200248,37,56121,4.6,3500,36,9124,0.1021,0,0,car,east,0
A200249,39,38287,9.8,4785,12,5236,0.1934,1,2,debt_consolidation,east,0
A200250,26,62158,2.8,8893,60,3702,0.0584,0,0,education,south,0
A200251,40,59179,2.1,14399,36,1261,0.0918,0,4,education,east,0
A200252,21,64401,3.6,1680,48,16074,0.1313,0,3,car,central,0
A200253,57,37866,3.6,12408,12,4647,0.389,0,1,home_improvement,central,0
A200254,35,40575,3.8,17438,60,7995,0.1845,0,2,car,central,0
A200255,28,47002,4.8,6704,60,5410,0.0861,0,0,education,south,0
A200256,40,22537,1.7,4372,36,6772,0.2149,1,4,home_improvement,south,0
A200257,21,59405,4.4,7084,60,13517,0.1376,0,0,education,central,0
A200258,48,48408,6.3,7427,24,10422,0.1844,0,0,debt_consolidation,north,0
A200259,40,46237,5.7,9276,24,14703,0.2593,0,1,debt_consolidation,south,0
A200260,22,71224,12.6,8594,48,8965,0.0931,0,0,debt_consolidation,central,0
A200261,50,121348,5.6,8671,36,26055,0.1312,0,2,debt_consolidation,south,0
A200262,34,20709,6.0,3830,24,3450,0.1758,0,1,debt_consolidation,north,0
A200263,47,27916,10.2,4672,12,24873,0.6129,1,0,car,north,0
A200264,52,160759,5.6,23338,60,1208,0.0328,0,1,other,east,0
A200265,32,53843,6.6,15038,60,6937,0.1203,0,2,debt_consolidation,south,0
A200266,33,76081,6.6,12409,48,34398,0.2668,2,0,car,north,1
A200267,25,20947,5.3,3981,60,4449,0.1442,0,0,car,central,0
A200268,33,54634,4.0,13356,36,8387,0.1582,0,4,debt_consolidation,south,0
A200269,21,27694,4.4,9465,12,6288,0.4553,0,3,medical,north,0
A200270,23,37472,4.9,16014,48,18921,0.3593,0,2,car,north,0
A200271,36,57650,0.6,5453,36,2841,0.0562,0,1,medical,east,0
A200272,50,97410,5.5,4881,24,2805,0.0395,0,2,debt_consolidation,central,0
A200273,27,20451,8.8,4854,24,4796,0.2359,0,1,debt_consolidation,north,0
A200274,37,42908,5.1,9208,36,2529,0.101,0,0,other,central,0
A200275,39,66568,4.2,5960,36,626,0.0345,0,1,car,central,0
A200276,50,60252,2.1,4455,48,17658,0.165,1,2,debt_consolidation,east,1
A200277,38,57125,1.2,4400,60,2249,0.0351,0,0,debt_consolidation,central,0
A200278,35,26799,5.9,7949,36,3177,0.1581,0,1,car,south,0
A200279,29,106027,2.5,3028,48,5111,0.0312,0,1,home_improvement,north,0
A200280,27,66703,3.9,7304,48,594,0.0318,2,5,car,north,0
A200281,37,48253,7.6,11530,36,7482,0.1572,0,2,education,east,0
A200282,36,70271,2.4,8484,24,22643,0.2215,0,5,car,north,0
A200283,33,52027,5.4,14101,36,1436,0.1041,1,0,debt_consolidation,north,0
A200284,35,24373,2.1,27648,24,1660,0.6012,0,1,debt_consolidation,central,0
A200285,37,89225,5.2,3631,12,9436,0.0936,0,2,debt_consolidation,north,0
A200286,53,70067,6.4,15607,48,9811,0.1257,0,0,debt_consolidation,central,0
A200287,31,63769,2.7,5063,24,1442,0.051,0,1,car,east,0
A200288,21,61440,1.6,7958,48,44834,0.3972,0,0,car,central,0
A200289,43,35579,4.6,5024,24,4398,0.1324,0,0,car,north,0
A200290,29,43507,1.5,5801,24,6863,0.1455,0,0,medical,central,0
A200291,60,46830,4.5,5578,48,18171,0.2238,0,1,education,north,0
A200292,57,18817,7.1,16756,36,1676,0.3414,0,1,debt_consolidation,south,0
A200293,38,66882,3.2,9128,36,1951,0.0601,0,2,car,east,0
A200294,47,130139,8.0,33771,60,40726,0.2084,0,1,debt_consolidation,central,0
A200295,35,162340,8.2,14240,48,4739,0.0365,0,0,education,east,0
A200296,54,84996,1.9,4824,24,10765,0.0917,1,0,other,east,0
A200297,39,124242,5.6,8452,12,2443,0.0779,0,0,education,north,0
A200298,59,28870,2.5,4384,24,3093,0.1295,0,0,debt_consolidation,central,0
A200299,34,34777,0.7,4301,12,19884,0.4096,0,2,car,east,0
A200300,21,54160,3.0,5827,36,6122,0.0924,1,0,debt_consolidation,north,0
A200301,46,36114,3.6,9257,36,5000,0.1547,0,1,education,north,1
A200302,34,57821,6.8,20943,60,17197,0.2211,1,0,education,central,0
A200303,49,135081,0.5,11180,12,1763,0.0893,0,0,medical,south,0
A200304,45,98131,1.9,8739,48,5735,0.0515,0,0,car,south,0
A200305,41,48541,2.7,12900,60,1177,0.0653,0,0,debt_consolidation,central,0
A200306,47,35314,8.9,7762,36,3535,0.1233,0,0,debt_consolidation,east,0
A200307,21,61864,5.7,18753,36,6111,0.1504,0,0,car,north,0
A200308,41,85306,4.5,21380,12,1267,0.2581,0,1,debt_consolidation,south,0
A200309,30,28949,6.9,11808,36,2368,0.1769,0,0,debt_consolidation,east,0
A200310,46,40761,0.3,9224,60,7141,0.1329,0,3,car,north,0
A200311,44,53564,1.8,4913,12,11588,0.1999,0,0,debt_consolidation,north,0
A200312,28,59894,8.9,25186,60,1501,0.0966,0,2,debt_consolidation,east,0
A200313,40,91383,2.7,10952,12,4739,0.1458,0,2,car,east,0
A200314,21,23801,4.4,10488,12,4026,0.5252,0,0,medical,east,0
A200315,32,140307,2.3,11898,24,2809,0.0524,0,0,other,north,0
A200316,25,62191,9.0,2847,24,3077,0.0476,0,0,medical,north,0
A200317,40,48449,3.5,4415,36,6652,0.099,0,0,education,east,0
A200318,27,27099,2.1,10067,60,7375,0.2104,1,0,medical,central,0
A200319,37,35826,6.9,7911,36,944,0.0868,0,1,debt_consolidation,east,0
A200320,32,38334,10.2,10839,36,3684,0.1423,0,1,home_improvement,central,0
A200321,34,64297,5.7,8472,24,3859,0.0959,2,5,home_improvement,south,1
A200322,35,92766,0.8,5565,24,791,0.0343,0,0,home_improvement,north,0
A200323,26,61645,5.8,5851,36,9934,0.1122,0,1,debt_consolidation,south,0
A200324,38,47058,0.8,11257,24,6198,0.1855,0,1,other,north,0
A200325,41,70720,7.6,6455,60,22153,0.1749,0,3,car,east,0
A200326,35,47984,12.2,15500,60,1023,0.0753,0,0,debt_consolidation,north,0
A200327,29,64719,2.3,9868,24,20140,0.2318,0,0,debt_consolidation,east,0
A200328,31,69448,1.5,9780,24,23660,0.2408,0,1,home_improvement,east,0
A200329,42,33444,4.4,10552,48,24169,0.4402,0,1,debt_consolidation,north,0
A200330,29,37951,12.8,16251,24,3339,0.2581,0,0,car,south,0
A200331,31,15738,2.7,16626,36,18836,0.9506,0,1,other,central,0
A200332,21,40472,7.7,7515,36,39063,0.5445,0,2,debt_consolidation,south,1
A200333,46,99050,2.6,7088,36,10134,0.075,2,0,debt_consolidation,central,0
A200334,29,39443,0.5,4162,36,16559,0.2451,0,0,home_improvement,central,0
A200335,35,56450,4.4,12574,60,3320,0.074,1,2,home_improvement,east,0
A200336,35,49059,2.7,16503,12,4938,0.3867,0,0,car,north,1
A200337,39,35329,6.7,9890,36,4414,0.1558,1,0,debt_consolidation,central,0
A200338,38,69554,6.2,7345,48,2137,0.0418,0,1,debt_consolidation,south,0
A200339,23,28186,12.6,9844,12,4275,0.4251,0,1,car,central,0
A200340,28,67560,4.2,4979,60,2414,0.0326,0,1,education,central,0
A200341,37,48843,3.6,12251,48,10325,0.1684,0,0,education,east,0
A200342,31,72130,3.6,7982,36,2178,0.052,0,1,debt_consolidation,north,0
A200343,51,42346,6.9,9329,60,3230,0.0822,0,4,medical,north,0
A200344,21,55356,6.5,2322,60,12046,0.1172,0,1,debt_consolidation,central,0
A200345,21,56816,5.9,4213,48,843,0.026,0,2,car,east,0
A200346,58,39450,2.5,4610,24,7854,0.158,0,2,home_improvement,north,0
A200347,40,63548,7.0,8704,48,841,0.0409,0,0,debt_consolidation,central,0
A200348,30,13726,0.4,7037,60,2980,0.2111,0,0,debt_consolidation,north,0
A200349,33,20848,2.3,4743,12,6527,0.384,0,0,debt_consolidation,south,0
A200350,38,10420,2.0,9631,60,3601,0.3576,0,1,car,central,0
A200351,49,50064,13.7,16961,24,880,0.1782,0,1,home_improvement,south,0
A200352,26,66435,5.5,20198,60,3563,0.0876,0,4,debt_consolidation,central,0
A200353,51,81638,5.3,12889,60,26887,0.1962,0,0,other,east,0
A200354,25,110286,1.2,10411,60,45717,0.2261,0,1,debt_consolidation,east,0
A200355,44,30225,3.9,9503,36,1704,0.133,0,1,medical,south,0
A200356,38,42490,1.2,2291,12,24519,0.3424,0,0,home_improvement,south,0
