date,TECHX,BANKCO,GOLDF,CRYPTOZ
2023-04-06,166.45,62.92,223.2,645.09
2023-04-07,170.15,62.41,223.08,662.45
2023-04-10,167.42,61.08,225.02,651.66
2023-04-11,168.58,61.41,225.21,698.61
2023-04-12,170.05,60.49,225.85,672.18
2023-04-13,169.11,61.14,225.5,698.73
2023-04-14,169.7,61.37,226.43,718.37
2023-04-17,171.11,61.57,225.79,760.6
2023-04-18,168.27,60.92,224.12,741.84
2023-04-19,164.74,61.0,222.05,689.3
2023-04-20,164.44,60.94,220.12,669.48
2023-04-21,166.8,61.14,218.74,692.85
2023-04-24,164.19,60.93,218.76,697.35
2023-04-25,171.76,62.86,222.44,740.74
2023-04-26,167.81,62.45,218.9,714.29
2023-04-27,170.41,62.99,221.57,759.78
2023-04-28,169.65,62.82,220.88,756.21
2023-05-01,170.5,62.89,220.72,778.57
2023-05-02,168.6,62.8,222.04,787.35
2023-05-03,168.5,63.49,223.16,824.1
2023-05-04,172.38,64.49,223.07,867.71
2023-05-05,173.7,64.72,222.64,863.31
2023-05-08,174.09,64.24,223.54,940.42
2023-05-09,172.08,63.18,221.79,898.36
2023-05-10,175.53,63.77,220.51,920.3
2023-05-11,173.28,62.42,223.78,947.63
2023-05-12,171.18,62.67,224.59,939.5
2023-05-15,172.86,62.93,221.95,927.5
2023-05-16,167.02,61.66,221.63,888.47
2023-05-17,165.16,62.04,218.37,891.5
2023-05-18,170.4,62.93,219.5,908.18
2023-05-19,170.08,63.54,220.58,921.7
2023-05-22,166.33,63.7,218.23,935.79
2023-05-23,166.11,63.92,216.79,901.09
2023-05-24,162.83,63.4,214.92,861.54
2023-05-25,167.41,63.57,214.33,910.02
2023-05-26,168.82,65.12,214.46,980.62
2023-05-29,172.45,66.69,213.54,1033.38
2023-05-30,172.82,66.97,211.37,1104.57
2023-05-31,177.14,66.65,210.39,1130.16
2023-06-01,179.37,66.9,209.63,1148.34
2023-06-02,184.81,68.14,212.38,1257.32
2023-06-05,188.51,69.16,210.84,1376.94
2023-06-06,187.22,68.8,210.69,1273.14
2023-06-07,180.61,67.95,209.71,1212.69
2023-06-08,181.25,67.78,209.37,1167.63
2023-06-09,176.99,67.06,210.08,1107.77
2023-06-12,177.85,68.19,210.51,1117.07
2023-06-13,179.32,68.71,209.87,1072.82
2023-06-14,175.54,69.59,210.68,1047.5
2023-06-15,180.15,70.78,209.53,1039.61
2023-06-16,178.57,71.21,208.13,1001.43
2023-06-19,179.08,70.26,205.52,1006.74
2023-06-20,174.17,69.69,208.05,1014.8
2023-06-21,175.79,68.73,210.84,1001.34
2023-06-22,177.98,69.21,209.59,1000.15
2023-06-23,179.91,70.08,213.04,984.19
2023-06-26,182.22,69.7,210.56,1000.54
2023-06-27,183.44,71.14,213.41,1047.41
2023-06-28,194.26,72.47,214.2,1087.71
2023-06-29,194.4,72.18,213.71,1036.42
2023-06-30,195.86,72.63,212.03,1039.54
2023-07-03,194.69,71.08,209.86,950.97
2023-07-04,195.11,71.73,208.26,910.02
2023-07-05,195.95,72.21,210.48,958.35
2023-07-06,207.14,74.31,210.78,1066.08
2023-07-07,205.21,73.64,212.21,1037.93
2023-07-10,217.74,75.6,212.6,1225.67
2023-07-11,219.88,75.78,212.7,1199.89
2023-07-12,221.23,75.55,215.3,1253.4
2023-07-13,223.8,75.85,214.8,1255.66
2023-07-14,219.95,76.18,216.02,1197.18
2023-07-17,215.81,76.64,216.46,1152.38
2023-07-18,219.29,76.77,216.32,1199.13
2023-07-19,221.37,77.68,217.74,1180.06
2023-07-20,220.32,77.85,217.71,1193.58
2023-07-21,212.09,77.29,218.56,1134.57
2023-07-24,212.76,76.72,218.22,1071.41
2023-07-25,219.44,77.78,219.9,1113.86
2023-07-26,217.82,77.1,222.27,1094.59
2023-07-27,214.87,74.94,220.84,1072.87
2023-07-28,216.1,74.82,222.72,1179.22
2023-07-31,216.24,74.96,222.68,1203.08
2023-08-01,219.67,74.86,228.79,1154.02
2023-08-02,207.96,74.93,227.0,1086.31
2023-08-03,210.22,75.3,227.11,1064.86
2023-08-04,207.14,75.48,225.42,1018.05
2023-08-07,202.1,75.82,228.49,1013.82
2023-08-08,196.44,74.88,228.55,1005.7
2023-08-09,202.74,74.59,231.18,992.14
2023-08-10,198.43,73.85,233.9,974.82
2023-08-11,202.47,74.13,236.48,978.25
2023-08-14,195.26,72.5,235.52,936.19
2023-08-15,189.74,70.45,232.52,879.94
2023-08-16,192.85,71.16,233.91,928.34
2023-08-17,195.83,70.48,232.47,933.75
2023-08-18,196.5,71.01,230.59,978.97
2023-08-21,198.3,71.15,231.07,957.33
2023-08-22,196.77,71.54,233.27,982.41
2023-08-23,195.94,70.99,236.14,943.03
2023-08-24,199.25,70.6,235.1,918.44
2023-08-25,202.03,72.46,239.75,972.7
2023-08-28,209.56,73.06,240.28,1056.59
2023-08-29,214.63,73.22,240.61,1059.24
2023-08-30,220.18,72.97,239.87,1105.59
2023-08-31,220.14,73.67,238.5,1138.58
2023-09-01,217.35,72.53,236.59,1014.08
2023-09-04,222.54,71.89,234.59,1030.62
2023-09-05,228.07,73.11,232.21,1087.89
2023-09-06,229.82,74.2,235.47,1069.24
2023-09-07,233.18,73.82,236.99,1060.09
2023-09-08,232.65,74.79,236.22,1078.22
2023-09-11,229.54,72.6,230.82,1022.6
2023-09-12,238.09,73.73,231.54,1079.15
2023-09-13,243.29,74.68,232.48,1125.51
2023-09-14,247.38,75.68,229.75,1119.31
2023-09-15,243.51,75.31,230.31,1053.68
2023-09-18,240.29,74.71,227.38,1072.51
2023-09-19,235.8,75.67,227.0,1137.09
2023-09-20,234.84,75.33,222.23,1071.13
2023-09-21,243.8,76.27,219.34,1027.1
2023-09-22,250.33,78.04,218.32,1070.73
2023-09-25,252.67,77.72,217.04,1091.28
2023-09-26,250.08,78.01,215.97,1107.18
2023-09-27,250.1,77.63,211.91,1213.29
2023-09-28,238.32,75.29,212.01,1116.74
2023-09-29,242.2,75.35,210.11,1084.67
2023-10-02,244.92,75.99,209.77,1130.34
2023-10-03,249.49,77.84,210.77,1174.52
2023-10-04,257.73,79.03,210.28,1234.19
2023-10-05,252.46,78.41,211.34,1158.15
2023-10-06,256.15,77.73,214.08,1086.12
2023-10-09,258.04,78.16,214.93,1064.96
2023-10-10,256.15,77.72,217.08,1131.71
2023-10-11,263.41,77.48,218.65,1140.84
2023-10-12,258.73,76.48,217.64,1024.64
2023-10-13,266.51,78.12,217.94,1128.81
2023-10-16,260.39,78.92,215.99,1161.95
2023-10-17,260.75,78.68,215.91,1179.17
2023-10-18,259.63,79.16,216.29,1222.37
2023-10-19,253.85,77.26,218.5,1202.92
2023-10-20,252.27,77.5,219.72,1205.04
2023-10-23,247.01,76.06,219.65,1165.98
2023-10-24,248.54,76.22,223.34,1163.58
2023-10-25,251.76,75.58,223.44,1203.82
2023-10-26,249.91,75.44,223.58,1292.31
2023-10-27,245.52,74.6,222.91,1226.68
2023-10-30,247.2,76.38,223.89,1244.77
2023-10-31,249.8,76.17,221.01,1301.5
2023-11-01,254.29,75.85,223.04,1325.88
2023-11-02,258.13,77.07,221.94,1394.75
2023-11-03,261.13,78.12,221.84,1450.16
2023-11-06,248.05,76.99,220.53,1345.19
2023-11-07,251.34,77.06,225.3,1284.21
2023-11-08,249.83,75.79,229.77,1307.56
2023-11-09,258.07,73.82,235.34,1389.69
2023-11-10,264.74,74.07,234.21,1410.69
2023-11-13,264.99,73.8,233.32,1429.41
2023-11-14,261.25,72.58,231.47,1349.05
2023-11-15,263.27,74.06,233.32,1428.58
2023-11-16,265.28,73.51,232.52,1420.72
2023-11-17,273.44,73.23,232.14,1439.5
2023-11-20,270.82,74.39,231.19,1416.5
2023-11-21,263.38,74.58,228.55,1373.45
2023-11-22,259.46,75.08,227.13,1441.3
2023-11-23,264.54,76.07,225.23,1507.53
2023-11-24,264.38,76.95,222.75,1430.07
2023-11-27,272.62,77.91,223.67,1552.79
2023-11-28,271.18,79.05,225.73,1505.0
2023-11-29,269.54,79.48,227.07,1584.59
2023-11-30,265.07,80.5,226.56,1531.8
2023-12-01,259.14,79.6,224.73,1471.5
2023-12-04,261.58,79.65,224.48,1424.48
2023-12-05,255.2,79.78,224.54,1457.16
2023-12-06,259.24,80.21,225.66,1496.85
2023-12-07,264.68,80.71,224.78,1523.07
2023-12-08,264.74,79.87,225.88,1526.91
2023-12-11,269.92,79.2,226.96,1545.95
2023-12-12,277.43,78.24,225.75,1658.83
2023-12-13,279.74,78.69,221.8,1675.55
2023-12-14,284.05,80.52,222.12,1765.12
2023-12-15,287.15,78.78,221.76,1828.82
2023-12-18,271.62,78.19,222.64,1654.18
2023-12-19,268.31,77.96,224.81,1575.53
2023-12-20,262.45,78.17,226.29,1592.08
2023-12-21,252.91,76.6,226.23,1562.17
2023-12-22,254.06,76.82,226.93,1551.62
2023-12-25,258.97,77.37,227.31,1519.36
2023-12-26,261.12,76.7,229.68,1591.98
2023-12-27,257.83,76.26,228.73,1662.99
2023-12-28,266.48,76.19,225.68,1689.81
2023-12-29,270.01,77.12,222.2,1719.34
2024-01-01,259.19,76.33,223.18,1700.2
2024-01-02,261.95,75.75,224.47,1612.87
2024-01-03,264.63,76.29,222.39,1537.44
2024-01-04,266.66,76.18,220.85,1576.76
2024-01-05,268.01,76.74,220.47,1573.59
2024-01-08,268.05,77.15,219.85,1615.08
2024-01-09,273.36,77.25,218.93,1671.53
2024-01-10,273.39,77.22,216.63,1596.52
2024-01-11,270.63,77.94,215.92,1615.31
2024-01-12,274.18,78.21,219.06,1598.7
2024-01-15,270.11,77.67,221.53,1517.42
2024-01-16,258.84,75.51,218.7,1400.5
2024-01-17,257.19,75.63,218.91,1462.64
2024-01-18,261.55,75.86,223.94,1464.48
2024-01-19,249.98,76.34,221.4,1348.07
2024-01-22,255.96,76.96,222.82,1425.94
2024-01-23,245.5,76.13,222.89,1418.77
2024-01-24,253.36,75.62,224.02,1506.35
2024-01-25,263.8,75.75,224.93,1494.0
2024-01-26,267.37,75.62,226.1,1575.67
2024-01-29,264.29,76.37,224.74,1641.23
2024-01-30,266.34,76.84,227.96,1691.82
2024-01-31,271.7,77.86,230.26,1747.14
2024-02-01,266.67,76.42,225.67,1694.23
2024-02-02,264.63,76.12,225.39,1647.85
2024-02-05,269.29,78.25,223.53,1705.15
2024-02-06,266.76,77.56,220.46,1646.11
2024-02-07,261.99,76.92,221.09,1680.84
2024-02-08,264.4,78.0,223.79,1708.85
2024-02-09,261.71,78.43,222.88,1766.57
2024-02-12,265.97,79.36,223.21,1731.12
2024-02-13,269.11,80.81,225.34,1768.13
2024-02-14,265.06,79.79,227.85,1811.01
2024-02-15,269.94,80.29,227.76,1871.42
2024-02-16,267.73,79.46,225.88,1833.67
2024-02-19,272.86,79.61,225.85,1836.67
2024-02-20,273.37,80.05,226.21,1807.85
2024-02-21,273.25,81.55,227.08,1816.0
2024-02-22,265.45,80.08,227.17,1757.55
2024-02-23,262.06,78.69,228.33,1844.72
2024-02-26,263.79,77.97,226.36,1856.17
2024-02-27,259.59,76.37,223.53,1682.48
2024-02-28,253.02,74.76,222.92,1582.01
2024-02-29,249.84,74.54,223.6,1571.21
2024-03-01,261.68,76.86,223.11,1658.0
2024-03-04,267.29,76.9,225.23,1686.29
2024-03-05,264.17,76.1,223.38,1643.68
2024-03-06,266.6,76.66,222.2,1537.65
2024-03-07,261.4,77.3,223.15,1604.08
2024-03-08,256.57,77.12,223.7,1585.4
2024-03-11,261.18,77.12,226.23,1712.75
2024-03-12,260.12,76.88,230.25,1769.13
2024-03-13,257.99,77.44,229.22,1811.61
2024-03-14,253.3,76.27,232.79,1685.86
2024-03-15,251.93,76.71,233.48,1607.27
2024-03-18,261.71,77.57,232.12,1645.3
2024-03-19,260.67,77.34,230.89,1580.3
2024-03-20,265.81,77.23,231.22,1662.66
2024-03-21,262.56,76.9,233.89,1626.7
2024-03-22,257.23,76.49,233.17,1657.83
2024-03-25,248.1,75.16,228.54,1527.77
2024-03-26,250.3,74.89,228.33,1510.88
2024-03-27,245.73,75.83,227.78,1560.53
2024-03-28,246.87,74.39,223.34,1511.31
2024-03-29,245.63,75.26,225.82,1490.18
2024-04-01,242.16,76.36,228.06,1435.37
2024-04-02,246.08,75.74,230.73,1418.76
2024-04-03,239.25,74.13,229.61,1370.18
2024-04-04,244.9,74.7,228.71,1332.85
2024-04-05,242.62,73.09,227.27,1263.64
2024-04-08,230.85,71.98,228.69,1170.22
2024-04-09,232.52,72.46,229.65,1151.83
2024-04-10,226.34,71.87,229.81,1097.71
2024-04-11,224.84,71.72,230.42,1135.2
2024-04-12,216.43,69.09,230.87,1057.92
2024-04-15,213.73,68.81,228.69,1017.67
2024-04-16,217.19,69.92,231.33,1065.12
2024-04-17,215.55,67.9,228.47,952.12
2024-04-18,213.2,67.72,230.95,1040.45
2024-04-19,217.6,68.53,232.85,1164.52
2024-04-22,220.21,69.15,234.68,1232.2
2024-04-23,217.5,68.34,234.83,1199.98
2024-04-24,217.24,68.07,236.18,1204.51
2024-04-25,222.75,68.22,237.16,1334.09
2024-04-26,217.5,67.06,236.94,1275.72
2024-04-29,217.09,67.64,236.27,1192.63
2024-04-30,215.7,67.01,235.15,1133.22
2024-05-01,215.57,66.76,234.28,1045.99
2024-05-02,219.84,66.54,234.0,1058.35
2024-05-03,220.58,66.13,232.32,1111.16
2024-05-06,222.25,66.41,230.68,1079.98
2024-05-07,227.74,66.75,231.33,1111.05
2024-05-08,225.26,65.5,225.94,1101.37
2024-05-09,225.86,66.54,222.78,1162.68
2024-05-10,226.78,66.13,220.35,1168.3
2024-05-13,226.68,66.01,220.1,1197.36
2024-05-14,223.48,66.0,222.59,1157.53
2024-05-15,215.65,65.17,220.52,1109.98
2024-05-16,221.77,65.55,218.48,1184.63
2024-05-17,213.15,64.09,217.61,1157.67
2024-05-20,208.37,63.61,217.65,1175.41
2024-05-21,204.78,63.53,220.11,1209.73
2024-05-22,207.05,63.99,222.76,1247.29
2024-05-23,214.79,63.95,222.91,1281.55
2024-05-24,212.91,64.61,219.38,1274.45
2024-05-27,212.24,63.83,221.17,1237.17
2024-05-28,218.62,65.73,221.33,1231.8
2024-05-29,225.7,67.57,220.13,1292.96
2024-05-30,224.2,67.91,220.27,1245.08
2024-05-31,222.1,69.0,221.44,1304.97
2024-06-03,217.1,68.25,222.02,1288.39
2024-06-04,220.64,67.61,220.6,1221.49
2024-06-05,220.75,66.64,214.77,1229.36
2024-06-06,226.4,67.12,213.32,1205.03
2024-06-07,222.31,65.51,215.62,1144.44
2024-06-10,221.08,64.66,214.91,1179.05
2024-06-11,217.19,63.9,216.24,1124.64
2024-06-12,219.09,64.62,214.35,1140.13
2024-06-13,212.15,63.89,215.82,1117.24
2024-06-14,213.96,63.87,215.53,1076.67
2024-06-17,215.5,63.97,216.48,1073.58
2024-06-18,213.79,63.52,217.28,1006.53
2024-06-19,212.46,63.37,217.73,1057.16
2024-06-20,216.27,63.29,217.58,1115.27
2024-06-21,211.3,64.57,217.24,1147.55
2024-06-24,210.37,64.14,216.44,1197.59
2024-06-25,206.31,62.23,216.86,1212.8
2024-06-26,201.17,62.05,216.64,1207.42
2024-06-27,200.56,62.75,217.65,1200.56
2024-06-28,192.33,62.09,215.62,1225.91
2024-07-01,189.09,60.97,217.17,1170.3
2024-07-02,186.05,60.93,219.75,1186.95
2024-07-03,189.01,62.11,218.59,1282.14
2024-07-04,192.67,62.8,221.94,1338.1
2024-07-05,192.13,62.16,223.64,1337.83
2024-07-08,189.62,61.69,224.66,1373.0
2024-07-09,192.11,61.55,222.82,1324.0
2024-07-10,191.31,61.33,224.83,1290.83
2024-07-11,192.78,61.96,223.76,1349.04
2024-07-12,188.16,61.03,223.68,1333.47
2024-07-15,187.82,61.81,223.57,1355.81
2024-07-16,189.66,61.84,224.37,1287.44
2024-07-17,188.35,61.67,220.9,1222.23
2024-07-18,183.63,60.08,219.77,1164.96
2024-07-19,183.66,59.93,218.57,1134.73
2024-07-22,183.95,60.56,220.33,1140.78
2024-07-23,187.89,61.37,219.86,1081.9
2024-07-24,183.63,61.2,216.58,1050.4
2024-07-25,182.27,61.0,220.03,1031.43
2024-07-26,177.11,59.15,217.88,991.04
2024-07-29,173.04,59.36,218.93,947.56
2024-07-30,168.97,58.95,222.53,927.57
2024-07-31,161.99,58.43,224.41,920.51
2024-08-01,164.31,59.16,220.76,912.55
2024-08-02,165.65,59.37,219.56,890.9
2024-08-05,171.59,60.49,218.16,899.77
2024-08-06,171.23,60.64,219.86,882.58
2024-08-07,173.51,60.37,218.57,832.87
2024-08-08,174.06,59.53,218.4,816.27
2024-08-09,171.32,59.4,215.27,777.81
2024-08-12,168.16,58.82,211.84,730.57
2024-08-13,163.91,56.97,209.66,711.17
2024-08-14,164.54,57.0,205.26,658.02
2024-08-15,166.02,57.09,204.75,704.61
2024-08-16,166.7,57.08,206.27,679.68
2024-08-19,162.31,57.18,208.38,682.11
2024-08-20,162.5,58.0,207.74,667.16
2024-08-21,165.34,57.48,208.79,713.17
2024-08-22,163.32,56.79,204.81,676.81
2024-08-23,160.31,56.94,203.19,636.05
2024-08-26,159.6,56.03,204.37,622.27
2024-08-27,164.17,56.79,207.0,636.25
2024-08-28,168.25,56.24,206.49,602.98
2024-08-29,163.14,55.8,204.56,554.7
2024-08-30,165.28,56.22,205.9,582.82
2024-09-02,165.54,56.48,206.54,605.44
2024-09-03,169.59,56.95,207.06,618.64
2024-09-04,166.37,56.1,206.39,602.82
2024-09-05,163.07,56.31,209.02,591.67
2024-09-06,161.65,56.99,209.64,606.57
2024-09-09,161.37,57.26,207.04,568.68
2024-09-10,162.56,58.01,206.52,575.84
2024-09-11,163.47,58.55,208.77,562.69
2024-09-12,159.82,58.21,204.32,529.87
2024-09-13,158.94,58.43,202.66,505.6
2024-09-16,162.24,58.76,200.91,509.2
2024-09-17,168.69,59.02,201.14,513.79
2024-09-18,168.17,59.29,201.35,542.53
2024-09-19,166.37,59.34,199.29,543.03
2024-09-20,167.5,59.36,201.41,534.03
2024-09-23,169.2,59.16,202.33,570.2
2024-09-24,168.48,59.48,200.5,537.07
2024-09-25,171.92,59.54,200.47,567.79
2024-09-26,174.78,59.19,197.3,576.05
2024-09-27,173.27,59.94,200.73,556.4
2024-09-30,177.51,60.85,196.87,579.42
2024-10-01,176.97,60.68,194.15,547.97
2024-10-02,179.01,60.37,193.36,519.49
2024-10-03,183.34,60.5,192.75,543.46
2024-10-04,178.55,59.95,195.75,510.06
2024-10-07,174.31,60.43,197.83,481.58
2024-10-08,174.74,59.42,197.91,486.34
2024-10-09,174.0,59.25,196.12,495.13
2024-10-10,180.71,60.49,195.18,547.29
2024-10-11,174.75,60.94,192.22,524.43
2024-10-14,182.57,60.83,192.33,529.03
2024-10-15,185.05,60.8,192.16,540.3
2024-10-16,187.64,60.64,192.64,580.33
2024-10-17,193.68,61.32,197.45,617.46
2024-10-18,196.68,61.28,196.96,646.96
2024-10-21,200.04,61.45,197.99,643.85
2024-10-22,195.63,61.92,198.98,666.48
2024-10-23,190.2,60.95,201.9,597.8
2024-10-24,190.71,61.45,200.71,592.34
2024-10-25,190.8,60.64,198.73,579.53
2024-10-28,191.28,60.29,196.09,560.62
2024-10-29,190.96,58.69,194.79,521.26
2024-10-30,192.76,59.2,197.51,494.94
2024-10-31,180.62,58.08,196.94,458.77
2024-11-01,180.8,57.75,199.73,486.95
2024-11-04,180.23,57.37,200.3,480.88
2024-11-05,180.18,57.23,201.4,489.05
2024-11-06,179.66,57.02,204.67,472.13
2024-11-07,178.87,56.61,200.58,454.95
2024-11-08,182.61,56.64,200.82,432.72
2024-11-11,180.93,55.89,199.34,426.23
2024-11-12,182.03,55.06,200.96,401.09
2024-11-13,182.47,55.27,200.54,396.47
2024-11-14,186.17,56.47,199.89,398.85
2024-11-15,184.97,56.51,198.18,403.79
2024-11-18,178.33,57.15,200.84,383.84
2024-11-19,176.66,57.28,197.46,358.48
2024-11-20,172.89,57.52,195.55,364.88
2024-11-21,171.83,58.11,196.11,386.77
2024-11-22,169.7,58.54,198.13,395.71
2024-11-25,169.18,57.14,198.78,396.42
2024-11-26,169.82,58.55,195.89,416.86
2024-11-27,164.59,57.65,193.4,416.17
2024-11-28,162.86,57.03,192.1,370.64
2024-11-29,161.38,57.03,194.47,367.06
2024-12-02,156.8,56.86,197.5,355.74
2024-12-03,155.99,56.99,200.8,339.46
2024-12-04,158.93,58.27,199.7,354.76
2024-12-05,156.44,58.09,197.45,336.19
2024-12-06,156.0,59.4,197.44,329.8
2024-12-09,156.99,59.48,197.33,346.41
