at,endpoint,status,latency_ms
2026-07-02T14:00:00.730,POST /payments,201,498.80
2026-07-02T14:00:00.740,GET /payments/{id},200,55.31
2026-07-02T14:00:00.750,POST /payments,201,108.90
2026-07-02T14:00:00.760,GET /health,200,26.79
2026-07-02T14:00:00.770,GET /payments/{id},200,95.36
2026-07-02T14:00:00.780,GET /payments/{id},200,75.29
2026-07-02T14:00:00.790,POST /payments,201,112.02
2026-07-02T14:00:00.800,GET /payments/{id},200,151.22
2026-07-02T14:00:00.810,POST /payments,201,77.49
2026-07-02T14:00:00.820,POST /payments,201,456.22
2026-07-02T14:00:00.830,POST /payments,201,795.28
2026-07-02T14:00:00.840,GET /health,200,27.35
2026-07-02T14:00:00.850,POST /payments,201,384.45
2026-07-02T14:00:00.860,POST /payments,201,155.76
2026-07-02T14:00:00.870,GET /payments/{id},200,238.79
2026-07-02T14:00:00.880,GET /payments/{id},200,44.84
2026-07-02T14:00:00.890,POST /payments,201,126.18
2026-07-02T14:00:00.900,POST /payments,201,432.27
2026-07-02T14:00:00.910,POST /payments,201,211.28
2026-07-02T14:00:00.920,GET /health,200,17.58
2026-07-02T14:00:00.930,POST /payments,201,487.10
2026-07-02T14:00:00.940,POST /payments,201,173.28
2026-07-02T14:00:00.950,GET /payments/{id},200,173.99
2026-07-02T14:00:00.960,GET /payments/{id},200,84.45
2026-07-02T14:00:00.970,GET /health,200,10.10
2026-07-02T14:00:00.980,GET /payments/{id},200,147.38
2026-07-02T14:00:00.990,POST /payments,201,134.13
2026-07-02T14:00:01.000,POST /payments,201,448.37
2026-07-02T14:00:01.010,POST /payments,201,317.63
2026-07-02T14:00:01.020,GET /payments/{id},200,254.63
2026-07-02T14:00:01.030,POST /payments,201,150.13
2026-07-02T14:00:01.040,POST /payments,201,144.16
2026-07-02T14:00:01.050,GET /payments/{id},200,36.43
2026-07-02T14:00:01.060,POST /payments,201,270.25
2026-07-02T14:00:01.070,GET /payments/{id},200,99.83
2026-07-02T14:00:01.080,GET /payments/{id},200,102.24
2026-07-02T14:00:01.090,POST /payments,201,267.83
2026-07-02T14:00:01.100,POST /payments,201,214.39
2026-07-02T14:00:01.110,POST /payments,201,139.02
2026-07-02T14:00:01.120,GET /payments/{id},200,46.46
2026-07-02T14:00:01.129,POST /payments,201,217.74
2026-07-02T14:00:01.139,POST /payments,201,183.72
2026-07-02T14:00:01.149,POST /payments,201,93.90
2026-07-02T14:00:01.159,POST /payments,201,784.26
2026-07-02T14:00:01.169,GET /payments/{id},200,101.28
2026-07-02T14:00:01.179,POST /payments,201,364.08
2026-07-02T14:00:01.189,POST /payments,201,252.29
2026-07-02T14:00:01.199,GET /payments/{id},200,104.03
2026-07-02T14:00:01.209,GET /health,200,24.51
2026-07-02T14:00:01.219,POST /payments,201,176.45
2026-07-02T14:00:01.229,GET /health,200,11.29
2026-07-02T14:00:01.240,POST /payments,201,109.69
2026-07-02T14:00:01.250,POST /payments,201,430.87
2026-07-02T14:00:01.260,GET /payments/{id},200,233.96
2026-07-02T14:00:01.270,POST /payments,201,132.44
2026-07-02T14:00:01.280,POST /payments,201,125.58
2026-07-02T14:00:01.290,POST /payments,201,564.91
2026-07-02T14:00:01.300,POST /payments,201,422.82
2026-07-02T14:00:01.310,POST /payments,201,135.28
2026-07-02T14:00:01.320,POST /payments,201,226.90
2026-07-02T14:00:01.330,POST /payments,201,176.12
2026-07-02T14:00:01.340,POST /payments,201,545.49
2026-07-02T14:00:01.350,POST /payments,201,222.53
2026-07-02T14:00:01.360,POST /payments,201,150.87
2026-07-02T14:00:01.370,POST /payments,201,165.12
2026-07-02T14:00:01.379,GET /payments/{id},200,120.56
2026-07-02T14:00:01.389,POST /payments,201,189.71
2026-07-02T14:00:01.399,GET /payments/{id},200,73.38
2026-07-02T14:00:01.409,GET /payments/{id},200,380.77
2026-07-02T14:00:01.419,GET /payments/{id},200,131.83
2026-07-02T14:00:01.429,POST /payments,201,72.95
2026-07-02T14:00:01.439,POST /payments,201,155.22
2026-07-02T14:00:01.449,POST /payments,201,268.65
2026-07-02T14:00:01.459,GET /payments/{id},200,91.06
2026-07-02T14:00:01.470,GET /payments/{id},200,209.03
2026-07-02T14:00:01.480,POST /payments,201,191.74
2026-07-02T14:00:01.490,POST /payments,201,231.07
2026-07-02T14:00:01.500,GET /payments/{id},200,74.22
2026-07-02T14:00:01.510,GET /payments/{id},200,136.88
2026-07-02T14:00:01.520,POST /payments,201,365.79
2026-07-02T14:00:01.530,GET /payments/{id},200,66.60
2026-07-02T14:00:01.540,POST /payments,201,210.55
2026-07-02T14:00:01.550,GET /payments/{id},200,62.80
2026-07-02T14:00:01.560,POST /payments,201,170.98
2026-07-02T14:00:01.570,GET /payments/{id},200,222.11
2026-07-02T14:00:01.580,GET /payments/{id},200,432.03
2026-07-02T14:00:01.590,POST /payments,201,174.86
2026-07-02T14:00:01.600,POST /payments,201,1148.60
2026-07-02T14:00:01.610,POST /payments,201,494.66
2026-07-02T14:00:01.620,GET /health,200,6.08
2026-07-02T14:00:01.629,GET /payments/{id},200,54.31
2026-07-02T14:00:01.639,GET /payments/{id},200,47.34
2026-07-02T14:00:01.649,GET /payments/{id},200,52.36
2026-07-02T14:00:01.659,POST /payments,201,516.91
2026-07-02T14:00:01.669,GET /payments/{id},200,148.64
2026-07-02T14:00:01.679,GET /health,200,25.46
2026-07-02T14:00:01.690,GET /health,200,6.95
2026-07-02T14:00:01.700,POST /payments,201,275.75
2026-07-02T14:00:01.710,POST /payments,201,120.45
2026-07-02T14:00:01.720,POST /payments,201,438.77
2026-07-02T14:00:01.730,POST /payments,201,189.76
2026-07-02T14:00:01.740,POST /payments,201,311.24
2026-07-02T14:00:01.750,GET /payments/{id},200,73.01
2026-07-02T14:00:01.760,POST /payments,201,199.60
2026-07-02T14:00:01.770,POST /payments,201,44.40
2026-07-02T14:00:01.780,POST /payments,201,229.98
2026-07-02T14:00:01.790,POST /payments,201,286.33
2026-07-02T14:00:01.800,POST /payments,201,98.42
2026-07-02T14:00:01.810,POST /payments,201,209.55
2026-07-02T14:00:01.820,POST /payments,201,116.91
2026-07-02T14:00:01.830,GET /health,200,21.69
2026-07-02T14:00:01.840,GET /payments/{id},200,56.83
2026-07-02T14:00:01.850,GET /payments/{id},200,107.89
2026-07-02T14:00:01.860,POST /payments,201,492.86
2026-07-02T14:00:01.870,POST /payments,201,209.11
2026-07-02T14:00:01.879,GET /payments/{id},200,34.74
2026-07-02T14:00:01.889,POST /payments,201,211.39
2026-07-02T14:00:01.899,POST /payments,201,255.29
2026-07-02T14:00:01.909,POST /payments,201,130.17
2026-07-02T14:00:01.919,POST /payments,201,367.22
2026-07-02T14:00:01.929,GET /health,200,4.91
2026-07-02T14:00:01.940,POST /payments,201,164.73
2026-07-02T14:00:01.950,GET /payments/{id},200,123.36
2026-07-02T14:00:01.960,POST /payments,201,517.27
2026-07-02T14:00:01.970,GET /payments/{id},200,86.19
2026-07-02T14:00:01.980,POST /payments,201,366.65
2026-07-02T14:00:01.990,GET /payments/{id},200,269.57
2026-07-02T14:00:02.000,GET /payments/{id},200,57.89
2026-07-02T14:00:02.009,POST /payments,201,68.05
2026-07-02T14:00:02.020,POST /payments,201,79.95
2026-07-02T14:00:02.029,POST /payments,201,469.10
2026-07-02T14:00:02.040,GET /payments/{id},200,30.50
2026-07-02T14:00:02.049,POST /payments,201,339.44
2026-07-02T14:00:02.060,POST /payments,201,62.41
2026-07-02T14:00:02.069,GET /payments/{id},200,273.15
2026-07-02T14:00:02.080,POST /payments,201,415.07
2026-07-02T14:00:02.089,POST /payments,201,98.32
2026-07-02T14:00:02.100,POST /payments,201,106.92
2026-07-02T14:00:02.109,GET /payments/{id},200,56.56
2026-07-02T14:00:02.120,GET /health,200,13.89
2026-07-02T14:00:02.129,POST /payments,201,630.86
2026-07-02T14:00:02.140,GET /payments/{id},200,61.07
2026-07-02T14:00:02.149,GET /payments/{id},200,59.48
2026-07-02T14:00:02.160,POST /payments,201,181.54
2026-07-02T14:00:02.169,POST /payments,201,204.68
2026-07-02T14:00:02.180,POST /payments,201,175.26
2026-07-02T14:00:02.189,GET /payments/{id},200,132.10
2026-07-02T14:00:02.200,POST /payments,201,107.59
2026-07-02T14:00:02.209,POST /payments,201,51.84
2026-07-02T14:00:02.220,POST /payments,201,756.03
2026-07-02T14:00:02.229,POST /payments,201,153.45
2026-07-02T14:00:02.240,POST /payments,201,124.35
2026-07-02T14:00:02.250,POST /payments,201,81.94
2026-07-02T14:00:02.259,POST /payments,201,134.79
2026-07-02T14:00:02.270,POST /payments,201,394.60
2026-07-02T14:00:02.279,GET /health,200,12.60
2026-07-02T14:00:02.290,POST /payments,201,232.33
2026-07-02T14:00:02.299,POST /payments,201,143.76
2026-07-02T14:00:02.310,POST /payments,201,85.25
2026-07-02T14:00:02.319,POST /payments,201,135.66
2026-07-02T14:00:02.330,POST /payments,201,141.12
2026-07-02T14:00:02.339,GET /payments/{id},200,90.13
2026-07-02T14:00:02.350,POST /payments,201,199.08
2026-07-02T14:00:02.359,POST /payments,201,49.25
2026-07-02T14:00:02.370,POST /payments,201,253.92
2026-07-02T14:00:02.379,POST /payments,201,51.09
2026-07-02T14:00:02.390,POST /payments,201,571.37
2026-07-02T14:00:02.399,GET /health,200,38.85
2026-07-02T14:00:02.410,POST /payments,201,252.93
2026-07-02T14:00:02.419,POST /payments,201,43.66
2026-07-02T14:00:02.430,GET /payments/{id},200,111.93
2026-07-02T14:00:02.439,POST /payments,201,94.18
2026-07-02T14:00:02.450,POST /payments,201,59.12
2026-07-02T14:00:02.459,POST /payments,201,255.90
2026-07-02T14:00:02.470,POST /payments,201,165.68
2026-07-02T14:00:02.480,GET /payments/{id},200,132.42
2026-07-02T14:00:02.490,POST /payments,201,200.62
2026-07-02T14:00:02.500,GET /payments/{id},200,244.71
2026-07-02T14:00:02.509,GET /health,200,7.33
2026-07-02T14:00:02.520,GET /payments/{id},200,77.18
2026-07-02T14:00:02.529,POST /payments,201,80.55
2026-07-02T14:00:02.540,GET /health,200,27.46
2026-07-02T14:00:02.549,GET /payments/{id},200,73.58
2026-07-02T14:00:02.560,POST /payments,201,156.06
2026-07-02T14:00:02.569,GET /payments/{id},200,197.63
2026-07-02T14:00:02.580,POST /payments,201,105.72
2026-07-02T14:00:02.589,POST /payments,201,437.69
2026-07-02T14:00:02.600,POST /payments,201,299.17
2026-07-02T14:00:02.609,POST /payments,201,210.74
2026-07-02T14:00:02.620,GET /payments/{id},200,134.63
2026-07-02T14:00:02.629,POST /payments,201,125.09
2026-07-02T14:00:02.640,POST /payments,201,77.55
2026-07-02T14:00:02.649,GET /payments/{id},200,116.21
2026-07-02T14:00:02.660,POST /payments,201,35.89
2026-07-02T14:00:02.669,POST /payments,201,93.91
2026-07-02T14:00:02.680,GET /payments/{id},200,88.26
2026-07-02T14:00:02.690,POST /payments,201,151.08
2026-07-02T14:00:02.700,GET /health,200,16.38
2026-07-02T14:00:02.710,POST /payments,201,129.46
2026-07-02T14:00:02.720,POST /payments,201,193.71
2026-07-02T14:00:02.730,POST /payments,201,81.04
2026-07-02T14:00:02.740,POST /payments,201,219.99
2026-07-02T14:00:02.750,GET /payments/{id},200,33.82
2026-07-02T14:00:02.759,POST /payments,201,403.83
2026-07-02T14:00:02.770,POST /payments,201,1070.73
2026-07-02T14:00:02.779,GET /payments/{id},200,59.39
2026-07-02T14:00:02.790,POST /payments,201,163.59
2026-07-02T14:00:02.799,POST /payments,201,393.29
2026-07-02T14:00:02.810,POST /payments,201,492.30
2026-07-02T14:00:02.819,POST /payments,201,206.94
2026-07-02T14:00:02.830,POST /payments,201,153.13
2026-07-02T14:00:02.839,GET /health,200,33.10
2026-07-02T14:00:02.850,POST /payments,201,137.22
2026-07-02T14:00:02.859,GET /payments/{id},200,73.87
2026-07-02T14:00:02.870,POST /payments,201,106.59
2026-07-02T14:00:02.879,GET /payments/{id},200,249.64
2026-07-02T14:00:02.890,GET /payments/{id},200,63.53
2026-07-02T14:00:02.899,GET /payments/{id},200,102.20
2026-07-02T14:00:02.910,GET /payments/{id},200,157.68
2026-07-02T14:00:02.919,POST /payments,201,227.38
2026-07-02T14:00:02.930,POST /payments,201,272.69
2026-07-02T14:00:02.940,POST /payments,201,274.82
2026-07-02T14:00:02.950,POST /payments,201,534.17
2026-07-02T14:00:02.960,POST /payments,201,161.21
2026-07-02T14:00:02.970,POST /payments,201,271.65
2026-07-02T14:00:02.980,POST /payments,201,496.52
2026-07-02T14:00:02.990,GET /payments/{id},200,129.63
2026-07-02T14:00:03.000,GET /payments/{id},200,208.89
2026-07-02T14:00:03.009,GET /payments/{id},200,110.27
2026-07-02T14:00:03.020,POST /payments,201,110.64
2026-07-02T14:00:03.029,GET /payments/{id},200,82.77
2026-07-02T14:00:03.040,GET /payments/{id},200,69.00
2026-07-02T14:00:03.049,GET /payments/{id},200,73.50
2026-07-02T14:00:03.060,GET /payments/{id},200,107.21
2026-07-02T14:00:03.069,GET /payments/{id},200,113.60
2026-07-02T14:00:03.080,POST /payments,201,287.52
2026-07-02T14:00:03.089,GET /payments/{id},200,91.55
2026-07-02T14:00:03.100,GET /health,200,17.27
2026-07-02T14:00:03.109,POST /payments,201,309.77
2026-07-02T14:00:03.120,POST /payments,201,291.21
2026-07-02T14:00:03.129,GET /payments/{id},200,101.13
2026-07-02T14:00:03.140,GET /payments/{id},200,128.00
2026-07-02T14:00:03.149,POST /payments,201,172.07
2026-07-02T14:00:03.160,POST /payments,201,127.81
2026-07-02T14:00:03.169,POST /payments,201,167.20
2026-07-02T14:00:03.180,POST /payments,201,196.84
2026-07-02T14:00:03.189,GET /health,200,10.24
2026-07-02T14:00:03.200,POST /payments,201,150.70
2026-07-02T14:00:03.209,POST /payments,201,71.37
2026-07-02T14:00:03.220,POST /payments,201,136.75
2026-07-02T14:00:03.229,POST /payments,201,98.31
2026-07-02T14:00:03.240,GET /payments/{id},200,24.63
2026-07-02T14:00:03.250,GET /payments/{id},200,145.43
2026-07-02T14:00:03.259,GET /payments/{id},200,168.95
2026-07-02T14:00:03.270,POST /payments,201,436.82
2026-07-02T14:00:03.279,GET /health,200,3.95
2026-07-02T14:00:03.290,POST /payments,201,311.59
2026-07-02T14:00:03.299,POST /payments,201,270.77
2026-07-02T14:00:03.310,GET /health,200,44.41
2026-07-02T14:00:03.319,POST /payments,201,191.27
2026-07-02T14:00:03.330,GET /health,200,3.22
2026-07-02T14:00:03.339,GET /health,200,32.46
2026-07-02T14:00:03.350,POST /payments,201,201.26
2026-07-02T14:00:03.359,GET /payments/{id},200,37.76
2026-07-02T14:00:03.370,GET /payments/{id},200,260.58
2026-07-02T14:00:03.379,POST /payments,201,151.22
2026-07-02T14:00:03.390,GET /health,200,13.98
2026-07-02T14:00:03.399,GET /payments/{id},200,200.29
2026-07-02T14:00:03.410,POST /payments,201,130.94
2026-07-02T14:00:03.419,POST /payments,201,178.62
2026-07-02T14:00:03.430,GET /health,200,7.78
2026-07-02T14:00:03.439,POST /payments,201,131.51
2026-07-02T14:00:03.450,POST /payments,201,294.14
2026-07-02T14:00:03.459,GET /payments/{id},200,88.56
2026-07-02T14:00:03.470,POST /payments,201,178.53
2026-07-02T14:00:03.480,POST /payments,201,450.32
2026-07-02T14:00:03.490,GET /payments/{id},200,110.53
2026-07-02T14:00:03.500,POST /payments,201,211.43
2026-07-02T14:00:03.509,GET /payments/{id},200,367.13
2026-07-02T14:00:03.520,POST /payments,201,117.03
2026-07-02T14:00:03.529,GET /payments/{id},200,124.36
2026-07-02T14:00:03.540,GET /payments/{id},200,181.02
2026-07-02T14:00:03.549,POST /payments,201,189.35
2026-07-02T14:00:03.560,POST /payments,201,190.97
2026-07-02T14:00:03.569,POST /payments,201,194.53
2026-07-02T14:00:03.580,GET /payments/{id},200,210.67
2026-07-02T14:00:03.589,POST /payments,201,296.14
2026-07-02T14:00:03.600,POST /payments,201,117.79
2026-07-02T14:00:03.609,POST /payments,201,590.68
2026-07-02T14:00:03.620,POST /payments,201,100.00
2026-07-02T14:00:03.629,POST /payments,201,77.00
2026-07-02T14:00:03.640,GET /payments/{id},200,150.86
2026-07-02T14:00:03.649,GET /payments/{id},200,99.92
2026-07-02T14:00:03.660,GET /payments/{id},200,153.64
2026-07-02T14:00:03.669,GET /payments/{id},200,36.26
2026-07-02T14:00:03.680,GET /payments/{id},200,119.67
2026-07-02T14:00:03.690,GET /payments/{id},200,77.42
2026-07-02T14:00:03.700,POST /payments,201,175.94
2026-07-02T14:00:03.710,GET /health,200,35.87
2026-07-02T14:00:03.720,POST /payments,201,105.30
2026-07-02T14:00:03.730,POST /payments,201,441.97
2026-07-02T14:00:03.740,GET /payments/{id},200,56.78
2026-07-02T14:00:03.750,GET /health,200,16.95
2026-07-02T14:00:03.759,GET /health,200,25.78
2026-07-02T14:00:03.770,GET /payments/{id},200,92.09
2026-07-02T14:00:03.779,POST /payments,201,456.22
2026-07-02T14:00:03.790,POST /payments,201,206.27
2026-07-02T14:00:03.799,POST /payments,201,296.63
2026-07-02T14:00:03.810,GET /payments/{id},200,51.15
2026-07-02T14:00:03.819,POST /payments,201,230.25
2026-07-02T14:00:03.830,POST /payments,201,278.05
2026-07-02T14:00:03.839,POST /payments,201,311.10
2026-07-02T14:00:03.850,GET /payments/{id},200,153.35
2026-07-02T14:00:03.859,POST /payments,201,122.68
2026-07-02T14:00:03.870,POST /payments,201,225.06
2026-07-02T14:00:03.879,POST /payments,201,158.98
2026-07-02T14:00:03.890,POST /payments,201,141.47
2026-07-02T14:00:03.899,POST /payments,201,94.89
2026-07-02T14:00:03.910,POST /payments,201,99.97
2026-07-02T14:00:03.919,POST /payments,201,368.55
2026-07-02T14:00:03.930,GET /payments/{id},200,122.76
2026-07-02T14:00:03.940,GET /health,200,17.78
2026-07-02T14:00:03.950,POST /payments,201,239.48
2026-07-02T14:00:03.960,POST /payments,201,160.69
2026-07-02T14:00:03.970,POST /payments,201,712.82
2026-07-02T14:00:03.980,GET /payments/{id},200,140.25
2026-07-02T14:00:03.990,POST /payments,201,295.47
2026-07-02T14:00:04.000,POST /payments,201,192.46
2026-07-02T14:00:04.009,GET /payments/{id},200,446.60
2026-07-02T14:00:04.019,POST /payments,201,278.57
2026-07-02T14:00:04.030,POST /payments,201,629.24
2026-07-02T14:00:04.040,GET /payments/{id},200,104.49
2026-07-02T14:00:04.049,POST /payments,201,183.52
2026-07-02T14:00:04.059,GET /payments/{id},200,44.12
2026-07-02T14:00:04.070,POST /payments,201,77.07
2026-07-02T14:00:04.080,GET /payments/{id},200,189.96
2026-07-02T14:00:04.089,GET /health,200,14.58
2026-07-02T14:00:04.099,POST /payments,201,176.17
2026-07-02T14:00:04.110,POST /payments,201,318.78
2026-07-02T14:00:04.120,POST /payments,201,373.45
2026-07-02T14:00:04.129,POST /payments,201,489.36
2026-07-02T14:00:04.139,POST /payments,201,267.54
2026-07-02T14:00:04.150,POST /payments,201,69.09
2026-07-02T14:00:04.160,POST /payments,201,130.14
2026-07-02T14:00:04.169,POST /payments,201,101.47
2026-07-02T14:00:04.179,POST /payments,201,744.96
2026-07-02T14:00:04.190,POST /payments,201,87.82
2026-07-02T14:00:04.200,POST /payments,201,421.07
2026-07-02T14:00:04.209,POST /payments,201,86.88
2026-07-02T14:00:04.219,POST /payments,201,169.90
2026-07-02T14:00:04.230,POST /payments,201,185.07
2026-07-02T14:00:04.240,GET /payments/{id},200,58.91
2026-07-02T14:00:04.250,GET /payments/{id},200,216.10
2026-07-02T14:00:04.259,POST /payments,201,108.54
2026-07-02T14:00:04.269,POST /payments,201,146.73
2026-07-02T14:00:04.280,POST /payments,201,281.77
2026-07-02T14:00:04.290,POST /payments,201,320.70
2026-07-02T14:00:04.299,POST /payments,201,415.94
2026-07-02T14:00:04.309,GET /payments/{id},200,151.76
2026-07-02T14:00:04.320,GET /payments/{id},200,73.48
2026-07-02T14:00:04.330,POST /payments,201,226.79
2026-07-02T14:00:04.339,GET /health,200,17.59
2026-07-02T14:00:04.349,GET /payments/{id},200,250.11
2026-07-02T14:00:04.360,POST /payments,201,282.59
2026-07-02T14:00:04.370,GET /health,200,15.55
2026-07-02T14:00:04.379,POST /payments,201,95.77
2026-07-02T14:00:04.389,POST /payments,201,146.55
2026-07-02T14:00:04.400,GET /payments/{id},200,121.65
2026-07-02T14:00:04.410,GET /payments/{id},200,46.36
2026-07-02T14:00:04.419,GET /health,200,15.69
2026-07-02T14:00:04.429,POST /payments,201,191.35
2026-07-02T14:00:04.440,POST /payments,201,191.97
2026-07-02T14:00:04.450,GET /health,200,30.90
2026-07-02T14:00:04.459,POST /payments,201,314.42
2026-07-02T14:00:04.469,GET /payments/{id},200,161.22
2026-07-02T14:00:04.480,POST /payments,201,192.50
2026-07-02T14:00:04.490,GET /payments/{id},200,73.00
2026-07-02T14:00:04.500,POST /payments,201,260.72
2026-07-02T14:00:04.509,POST /payments,201,299.19
2026-07-02T14:00:04.519,POST /payments,201,510.63
2026-07-02T14:00:04.530,GET /payments/{id},200,249.60
2026-07-02T14:00:04.540,POST /payments,201,146.71
2026-07-02T14:00:04.549,POST /payments,201,910.96
2026-07-02T14:00:04.559,POST /payments,201,74.67
2026-07-02T14:00:04.570,POST /payments,201,404.14
2026-07-02T14:00:04.580,GET /payments/{id},200,83.80
2026-07-02T14:00:04.589,GET /payments/{id},200,96.85
2026-07-02T14:00:04.599,GET /health,200,53.20
2026-07-02T14:00:04.610,POST /payments,201,140.11
2026-07-02T14:00:04.620,GET /health,200,14.32
2026-07-02T14:00:04.629,POST /payments,201,296.39
2026-07-02T14:00:04.639,GET /health,200,11.89
2026-07-02T14:00:04.650,POST /payments,201,343.35
2026-07-02T14:00:04.660,POST /payments,201,279.09
2026-07-02T14:00:04.669,POST /payments,201,71.30
2026-07-02T14:00:04.679,POST /payments,201,184.62
2026-07-02T14:00:04.690,GET /payments/{id},200,246.98
2026-07-02T14:00:04.700,POST /payments,201,64.66
2026-07-02T14:00:04.710,GET /payments/{id},200,85.39
2026-07-02T14:00:04.719,GET /health,200,19.59
2026-07-02T14:00:04.730,POST /payments,201,345.30
2026-07-02T14:00:04.740,POST /payments,201,210.28
2026-07-02T14:00:04.750,POST /payments,201,280.14
2026-07-02T14:00:04.759,POST /payments,201,351.77
2026-07-02T14:00:04.769,GET /payments/{id},200,290.48
2026-07-02T14:00:04.780,POST /payments,201,407.13
2026-07-02T14:00:04.790,GET /payments/{id},200,35.24
2026-07-02T14:00:04.799,POST /payments,201,109.72
2026-07-02T14:00:04.809,POST /payments,201,56.29
2026-07-02T14:00:04.820,POST /payments,201,126.79
2026-07-02T14:00:04.830,GET /health,200,11.74
2026-07-02T14:00:04.839,POST /payments,201,92.20
2026-07-02T14:00:04.849,POST /payments,201,936.17
2026-07-02T14:00:04.860,GET /payments/{id},200,94.09
2026-07-02T14:00:04.870,GET /health,200,29.14
2026-07-02T14:00:04.879,POST /payments,201,221.22
2026-07-02T14:00:04.889,POST /payments,201,160.57
2026-07-02T14:00:04.900,POST /payments,201,119.27
2026-07-02T14:00:04.910,POST /payments,201,292.02
2026-07-02T14:00:04.919,POST /payments,201,194.66
2026-07-02T14:00:04.929,GET /health,200,12.90
2026-07-02T14:00:04.940,GET /payments/{id},200,114.24
2026-07-02T14:00:04.950,POST /payments,201,83.62
2026-07-02T14:00:04.960,GET /payments/{id},200,61.82
2026-07-02T14:00:04.969,GET /payments/{id},200,69.52
2026-07-02T14:00:04.980,GET /payments/{id},200,100.94
2026-07-02T14:00:04.990,GET /payments/{id},200,148.05
2026-07-02T14:00:05.000,POST /payments,201,56.45
2026-07-02T14:00:05.009,POST /payments,201,29.06
2026-07-02T14:00:05.019,GET /payments/{id},200,63.25
