date,description,category,amount,account,method
2025-07-13,SUPERSAVE,groceries,-31.04,CHK-4471,card
2025-07-14,BOOK NOOK,shopping,-157.65,CHK-4471,card
2025-07-14,BURGER LAB,dining,-41.05,CHK-4471,card
2025-07-14,FRESHMART,groceries,-70.07,CHK-4471,card
2025-07-15,FIBRENET INTERNET,utilities,-45.0,CHK-4471,direct_debit
2025-07-16,BEAN THERE,dining,-7.11,CHK-4471,card
2025-07-16,DECATHLON,shopping,-118.2,CHK-4471,card
2025-07-18,CLOUDSTREAM TV,subscriptions,-15.99,CHK-4471,card
2025-07-20,AQUA UTILITIES,utilities,-21.05,CHK-4471,direct_debit
2025-07-20,CAFE ORBIT,dining,-4.82,CHK-4471,card
2025-07-22,METRO CARD TOPUP,transport,-34.9,CHK-4471,card
2025-07-23,THE CURRY POT,dining,-30.06,CHK-4471,card
2025-07-24,DAILY GRIND,dining,-3.67,CHK-4471,card
2025-07-25,METRO CARD TOPUP,transport,-8.83,CHK-4471,card
2025-07-25,SALARY - NEXUS TECH,income,3200.0,CHK-4471,transfer
2025-07-26,PIZZA UNO,dining,-12.72,CHK-4471,card
2025-07-26,TRANSFER TO SAVINGS,savings,-300.0,CHK-4471,transfer
2025-07-28,FRESHMART,groceries,-40.27,CHK-4471,card
2025-07-28,FRESHMART,groceries,-32.94,CHK-4471,card
2025-08-01,RENT - HARBOUR LOFTS,housing,-1150.0,CHK-4471,transfer
2025-08-02,CAFE ORBIT,dining,-5.72,CHK-4471,card
2025-08-02,DAILY GRIND,dining,-6.8,CHK-4471,card
2025-08-02,IRONWORKS GYM,subscriptions,-35.0,CHK-4471,direct_debit
2025-08-03,BEAN THERE,dining,-3.43,CHK-4471,card
2025-08-03,DAILY GRIND,dining,-6.22,CHK-4471,card
2025-08-04,DAILY GRIND,dining,-4.37,CHK-4471,card
2025-08-04,PIZZA UNO,dining,-33.48,CHK-4471,card
2025-08-05,NETFLIX,subscriptions,-12.99,CHK-4471,card
2025-08-05,REFUND - ZARA,shopping,44.47,CHK-4471,card
2025-08-07,CAFE ORBIT,dining,-6.44,CHK-4471,card
2025-08-08,ICLOUD STORAGE,subscriptions,-2.99,CHK-4471,card
2025-08-08,PIZZA UNO,dining,-21.37,CHK-4471,card
2025-08-10,CITY POWER,utilities,-75.81,CHK-4471,direct_debit
2025-08-10,THE CURRY POT,dining,-30.26,CHK-4471,card
2025-08-12,SPOTIFY PREMIUM,subscriptions,-9.99,CHK-4471,card
2025-08-13,ZARA,shopping,-163.38,CHK-4471,card
2025-08-14,BEAN THERE,dining,-7.15,CHK-4471,card
2025-08-14,BOOK NOOK,shopping,-159.57,CHK-4471,card
2025-08-14,BURGER LAB,dining,-39.6,CHK-4471,card
2025-08-15,CORNER MARKET,groceries,-24.64,CHK-4471,card
2025-08-15,FIBRENET INTERNET,utilities,-45.0,CHK-4471,direct_debit
2025-08-15,FUEL STOP,transport,-28.64,CHK-4471,card
2025-08-16,FUEL STOP,transport,-28.03,CHK-4471,card
2025-08-16,NOODLE HOUSE,dining,-13.79,CHK-4471,card
2025-08-17,SUPERSAVE,groceries,-48.59,CHK-4471,card
2025-08-18,BEAN THERE,dining,-3.7,CHK-4471,card
2025-08-18,CITY BUS,transport,-50.63,CHK-4471,card
2025-08-18,CLOUDSTREAM TV,subscriptions,-15.99,CHK-4471,card
2025-08-19,CAFE ORBIT,dining,-6.88,CHK-4471,card
2025-08-19,CAFE ORBIT,dining,-5.25,CHK-4471,card
2025-08-19,CORNER MARKET,groceries,-44.04,CHK-4471,card
2025-08-20,AQUA UTILITIES,utilities,-22.44,CHK-4471,direct_debit
2025-08-20,NOODLE HOUSE,dining,-17.4,CHK-4471,card
2025-08-20,THE CURRY POT,dining,-36.43,CHK-4471,card
2025-08-24,CITY BUS,transport,-12.41,CHK-4471,card
2025-08-24,FUEL STOP,transport,-39.15,CHK-4471,card
2025-08-24,RIDEHAIL,transport,-32.32,CHK-4471,card
2025-08-25,BONUS - NEXUS TECH,income,450.0,CHK-4471,transfer
2025-08-25,DAILY GRIND,dining,-6.85,CHK-4471,card
2025-08-25,SALARY - NEXUS TECH,income,3200.0,CHK-4471,transfer
2025-08-25,SUPERSAVE,groceries,-26.97,CHK-4471,card
2025-08-26,TRANSFER TO SAVINGS,savings,-300.0,CHK-4471,transfer
2025-08-27,THE CURRY POT,dining,-31.95,CHK-4471,card
