settlement_id,settled_at,payment_id,type,gross_minor,fee_minor,net_minor,currency,note
S000161,2026-05-05,P017204,capture,10398,332,10066,USD,
S000163,2026-05-05,P003020,capture,5360,185,5175,USD,
S000166,2026-05-05,P014401,capture,13388,418,12970,USD,
S000168,2026-05-05,P004022,capture,56177,1659,54518,USD,
S000169,2026-05-05,P011725,capture,1470,73,1397,USD,
S000171,2026-05-05,P012921,capture,1570,76,1494,USD,
S000177,2026-05-05,P005036,capture,3848,142,3706,USD,
S000178,2026-05-05,P013050,capture,3440,130,3310,USD,
S000181,2026-05-05,P008695,capture,48701,1442,47259,USD,
S000182,2026-05-05,P005056,capture,5121,179,4942,USD,
S000183,2026-05-05,P014786,capture,3758,139,3619,USD,
S000184,2026-05-05,P011409,capture,115725,3386,112339,USD,
S000186,2026-05-05,P009046,capture,10433,333,10100,USD,
S000187,2026-05-05,P013349,capture,7079,235,6844,USD,
S000188,2026-05-05,P009690,capture,7924,260,7664,USD,
S000189,2026-05-05,P019774,capture,3994,146,3848,USD,
S000192,2026-05-05,P013077,capture,13865,432,13433,USD,
S000193,2026-05-05,P015529,capture,2442,101,2341,USD,
S000194,2026-05-05,P016142,capture,2922,115,2807,USD,
S000195,2026-05-05,P006253,capture,6340,214,6126,USD,
S000196,2026-05-05,P012939,capture,4074,148,3926,USD,
S000199,2026-05-05,P001252,capture,4728,167,4561,USD,
S000201,2026-05-05,P004537,capture,12446,391,12055,USD,
S000202,2026-05-05,P012433,capture,4067,148,3919,USD,
S000203,2026-05-05,P003450,capture,6081,206,5875,USD,
S000205,2026-05-05,P012823,capture,3557,133,3424,USD,
S000206,2026-05-05,P000748,capture,2008,88,1920,USD,
S000207,2026-05-05,P012302,capture,8362,272,8090,USD,
S000208,2026-05-05,P001968,capture,1957,87,1870,USD,
S000209,2026-05-05,P004296,capture,7073,235,6838,USD,
S000210,2026-05-05,P018614,capture,18947,579,18368,USD,
S000211,2026-05-05,P015893,capture,9812,315,9497,USD,
S000212,2026-05-05,P012509,capture,4807,169,4638,USD,
S000217,2026-05-05,P016051,capture,12692,398,12294,USD,
S000219,2026-05-05,P002463,capture,3565,133,3432,USD,
S000220,2026-05-05,P009149,capture,9099,294,8805,USD,
S000221,2026-05-05,P010755,capture,19210,587,18623,USD,
S000224,2026-05-05,P009058,capture,8995,291,8704,USD,
S000227,2026-05-05,P012679,capture,4897,172,4725,USD,
S000228,2026-05-05,P005637,capture,5437,187,5250,EUR,converted at 1.0961
S000230,2026-05-05,P006926,capture,1377,70,1307,USD,
S000232,2026-05-05,P016412,capture,2823,112,2711,USD,
S000233,2026-05-05,P016148,capture,1058,61,997,USD,
S000234,2026-05-05,P010046,capture,6230,211,6019,USD,
S000237,2026-05-05,P015023,capture,19183,586,18597,USD,
S000242,2026-05-05,P017932,capture,4580,163,4417,USD,
S000244,2026-05-05,P006023,capture,1895,85,1810,USD,
S000246,2026-05-05,P009719,capture,13739,428,13311,USD,
S000247,2026-05-05,P012155,capture,12671,397,12274,USD,
S000248,2026-05-05,P014321,capture,1252,66,1186,USD,
S000250,2026-05-05,P003342,capture,7714,254,7460,USD,
S000253,2026-05-05,P001695,capture,4176,151,4025,USD,
S000254,2026-05-05,P001352,capture,9221,297,8924,USD,
S000257,2026-05-05,P006758,capture,4855,171,4684,USD,
S000259,2026-05-05,P018972,capture,12942,380,12562,USD,
S000260,2026-05-05,P002455,capture,28335,852,27483,USD,
S000264,2026-05-05,P019220,capture,3532,132,3400,USD,
S000266,2026-05-05,P004717,capture,8079,264,7815,USD,
S000267,2026-05-05,P015469,capture,9337,301,9036,USD,
S000270,2026-05-05,P012003,capture,6398,216,6182,USD,
S000271,2026-05-05,P017101,capture,1455,72,1383,USD,
S000273,2026-05-05,P002914,capture,6649,223,6426,USD,
S000274,2026-05-05,P004550,capture,629,48,581,USD,
S000276,2026-05-05,P011481,capture,2459,101,2358,USD,
S000277,2026-05-05,P011896,capture,4858,171,4687,USD,
S000279,2026-05-05,P012993,capture,2366,99,2267,USD,
S000280,2026-05-05,P012138,capture,11038,350,10688,USD,
S000282,2026-05-05,P014997,capture,7880,259,7621,USD,
S000284,2026-05-05,P000968,capture,7236,240,6996,USD,
S000285,2026-05-05,P007130,capture,6310,213,6097,USD,
S000287,2026-05-05,P008156,capture,20787,633,20154,USD,
S000288,2026-05-05,P012190,capture,485,44,441,USD,
S000290,2026-05-05,P016997,capture,13868,432,13436,USD,
S000293,2026-05-05,P016719,capture,6659,223,6436,USD,
S000294,2026-05-05,P002589,capture,7358,243,7115,USD,
S000296,2026-05-05,P018935,capture,3473,131,3342,USD,
S000299,2026-05-05,P012783,capture,914,57,857,USD,
S000300,2026-05-05,P016060,capture,7246,240,7006,USD,
S000303,2026-05-05,P018453,capture,9874,316,9558,USD,
S000305,2026-05-05,P011343,capture,11163,354,10809,USD,
S000307,2026-05-05,P004213,capture,1710,80,1630,USD,
S000311,2026-05-05,P000887,capture,23071,699,22372,USD,
S000312,2026-05-05,P015846,capture,572,47,525,USD,
S000313,2026-05-05,P013216,capture,3430,129,3301,USD,
S000316,2026-05-05,P015217,capture,3405,129,3276,USD,
S000317,2026-05-05,P002931,capture,39672,1180,38492,USD,
S000319,2026-05-05,P014363,capture,5023,176,4847,USD,
S000321,2026-05-05,P006294,capture,13335,417,12918,USD,
S000323,2026-05-05,P013872,capture,1525,74,1451,USD,
S000326,2026-05-05,P005025,capture,1350,69,1281,USD,
S000327,2026-05-05,P009645,capture,5077,177,4900,USD,
S000328,2026-05-05,P018833,capture,8296,271,8025,USD,
S000329,2026-05-05,P015756,capture,3367,128,3239,USD,
S000331,2026-05-05,P004409,capture,17071,525,16546,USD,
S000335,2026-05-05,P009255,capture,18068,554,17514,USD,
S000336,2026-05-05,P017021,capture,1360,69,1291,USD,
S000337,2026-05-05,P001846,capture,1498,73,1425,USD,
S000340,2026-05-05,P014352,capture,11990,378,11612,USD,
S000341,2026-05-05,P007855,capture,5317,184,5133,USD,
S000343,2026-05-05,P018550,capture,14133,440,13693,USD,
S000344,2026-05-05,P004112,capture,4574,163,4411,USD,
S000345,2026-05-05,P019654,capture,2597,105,2492,USD,
S000346,2026-05-05,P010817,capture,6322,213,6109,USD,
S000347,2026-05-05,P017940,capture,2974,116,2858,USD,
S000348,2026-05-05,P013896,capture,15168,470,14698,USD,
S000350,2026-05-05,P000037,capture,12377,389,11988,USD,
S000353,2026-05-05,P006249,capture,929,57,872,USD,
S000354,2026-05-05,P013705,capture,3079,119,2960,USD,
S000355,2026-05-05,P018725,capture,3841,141,3700,USD,
S000357,2026-05-05,P002556,capture,2427,100,2327,USD,
S000359,2026-05-05,P019964,capture,6002,204,5798,USD,
S000360,2026-05-05,P007821,capture,4405,158,4247,USD,
S000362,2026-05-05,P018761,capture,5868,200,5668,USD,
S000363,2026-05-05,P016391,capture,19987,610,19377,USD,
S000365,2026-05-05,P001367,capture,2662,107,2555,USD,
S000369,2026-05-05,P009644,capture,5797,198,5599,USD,
S000370,2026-05-05,P012247,capture,1298,68,1230,USD,
S000371,2026-05-05,P005473,capture,9546,307,9239,USD,
S000372,2026-05-05,P017479,capture,8519,277,8242,USD,
S000373,2026-05-05,P006527,capture,8698,282,8416,USD,
S000377,2026-05-05,P005323,capture,16327,503,15824,USD,
S000378,2026-05-05,P002689,capture,7311,242,7069,USD,
S000379,2026-05-05,P014026,capture,3994,146,3848,USD,
S000382,2026-05-05,P014782,capture,3851,142,3709,USD,
S000383,2026-05-05,P017790,capture,6110,207,5903,USD,
S000384,2026-05-05,P006640,capture,547,46,501,USD,
S000385,2026-05-05,P009171,capture,1890,85,1805,USD,
S000387,2026-05-05,P001700,capture,20477,624,19853,USD,
S000388,2026-05-05,P003547,capture,3488,131,3357,USD,
S000392,2026-05-05,P013747,capture,6178,209,5969,USD,
S000394,2026-05-05,P007094,capture,8397,274,8123,USD,
S000395,2026-05-05,P001627,capture,679,50,629,USD,
S000397,2026-05-05,P001619,capture,11637,367,11270,USD,
S000399,2026-05-05,P016550,capture,3565,133,3432,USD,
S000400,2026-05-05,P017389,capture,16781,517,16264,USD,
S000401,2026-05-05,P006432,capture,707,51,656,USD,
S000403,2026-05-05,P002811,capture,31848,954,30894,USD,
S000405,2026-05-05,P002597,capture,18939,579,18360,USD,
S000406,2026-05-05,P001233,capture,6328,214,6114,USD,
S000408,2026-05-05,P003378,capture,13505,422,13083,USD,
S000409,2026-05-05,P013831,capture,764,52,712,USD,
S000410,2026-05-05,P007626,capture,6308,213,6095,USD,
S000411,2026-05-05,P019445,capture,7499,247,7252,USD,
S000413,2026-05-05,P005245,capture,834,54,780,USD,
S000414,2026-05-05,P003935,capture,8090,265,7825,USD,
S000415,2026-05-05,P004127,capture,1814,83,1731,USD,
S000417,2026-05-05,P013432,capture,6200,210,5990,USD,
S000421,2026-05-05,P008263,capture,9767,313,9454,USD,
S000422,2026-05-05,P015713,capture,4499,160,4339,USD,
S000424,2026-05-05,P010718,capture,1089,62,1027,USD,
S000426,2026-05-05,P010798,capture,8351,272,8079,USD,
S000428,2026-05-05,P016731,capture,2180,93,2087,USD,
S000430,2026-05-05,P012586,capture,1326,68,1258,USD,
S000431,2026-05-05,P002294,capture,2990,117,2873,USD,
S000433,2026-05-05,P019076,capture,5678,195,5483,USD,
S000434,2026-05-05,P002937,capture,14134,440,13694,USD,
S000435,2026-05-05,P009420,capture,19020,582,18438,USD,
S000436,2026-05-05,P008258,capture,6541,220,6321,USD,
S000437,2026-05-05,P005465,capture,5557,191,5366,USD,
S000440,2026-05-05,P015883,capture,3105,120,2985,USD,
S000441,2026-05-05,P005676,capture,2459,101,2358,USD,
S000443,2026-05-05,P017028,capture,3070,119,2951,USD,
S000444,2026-05-05,P017821,capture,11265,357,10908,USD,
S000445,2026-05-05,P011242,capture,6634,222,6412,USD,
S000448,2026-05-05,P018852,capture,16854,519,16335,USD,
S000449,2026-05-05,P007408,capture,2063,90,1973,USD,
S000451,2026-05-05,P018421,capture,23517,712,22805,USD,
S000452,2026-05-05,P001218,capture,7858,258,7600,USD,
S000453,2026-05-05,P017514,capture,2522,103,2419,USD,
S000454,2026-05-05,P010898,capture,8574,279,8295,USD,
S000455,2026-05-05,P019876,capture,2099,91,2008,USD,
S000456,2026-05-05,P011726,capture,2828,112,2716,USD,
S000457,2026-05-05,P005047,capture,10471,334,10137,USD,
S000459,2026-05-05,P004559,capture,13901,433,13468,USD,
S000460,2026-05-05,P010532,capture,6817,228,6589,USD,
S000461,2026-05-05,P002447,capture,2076,90,1986,USD,
S000464,2026-05-05,P001936,capture,8430,274,8156,USD,
S000469,2026-05-05,P011402,capture,836,54,782,USD,
S000470,2026-05-05,P000335,capture,2548,104,2444,USD,
S000471,2026-05-05,P010088,capture,2026,89,1937,USD,
S000476,2026-05-05,P005011,capture,984,59,925,USD,
S000477,2026-05-05,P018185,capture,4894,172,4722,USD,
S000479,2026-05-05,P015737,capture,1002,59,943,USD,
S000480,2026-05-05,P019466,capture,5113,178,4935,USD,
S000482,2026-05-05,P014209,capture,1634,77,1557,USD,
S000483,2026-05-05,P018768,capture,4931,173,4758,USD,
S000486,2026-05-05,P005061,capture,2245,95,2150,USD,
S000488,2026-05-05,P012251,capture,12373,389,11984,USD,
S000489,2026-05-05,P016624,capture,7816,257,7559,USD,
S000490,2026-05-05,P005054,capture,3918,144,3774,USD,
S000491,2026-05-05,P008540,capture,2005,88,1917,USD,
S000493,2026-05-05,P015548,capture,4438,159,4279,USD,
S000494,2026-05-05,P008536,capture,9642,310,9332,USD,
S000495,2026-05-05,P004057,capture,38709,1153,37556,USD,
S000496,2026-05-05,P003071,capture,16121,499,15622,EUR,converted at 1.0961
S000497,2026-05-05,P014697,capture,4919,173,4746,USD,
S000498,2026-05-05,P017450,capture,7723,254,7469,USD,
S000500,2026-05-05,P007004,capture,3629,135,3494,USD,
S000502,2026-05-05,P003613,capture,2709,109,2600,USD,
S000503,2026-05-05,P014274,capture,2997,117,2880,USD,
S000504,2026-05-05,P014968,capture,8155,266,7889,USD,
S000506,2026-05-05,P018960,capture,3256,124,3132,USD,
S000507,2026-05-05,P008896,capture,1612,77,1535,USD,
S000508,2026-05-05,P012551,capture,6924,231,6693,USD,
S000510,2026-05-05,P004440,capture,12410,390,12020,USD,
S000511,2026-05-05,P009800,capture,2894,114,2780,USD,
S000513,2026-05-05,P000713,capture,7251,240,7011,USD,
S000514,2026-05-05,P004980,capture,6039,205,5834,USD,
S000516,2026-05-05,P016394,capture,2643,107,2536,USD,
S000517,2026-05-05,P013713,capture,6342,214,6128,USD,
S000518,2026-05-05,P013593,capture,6635,222,6413,USD,
S000520,2026-05-05,P006034,capture,1981,87,1894,USD,
S000522,2026-05-05,P001418,capture,12761,400,12361,USD,
S000523,2026-05-05,P017066,capture,14033,437,13596,USD,
S000525,2026-05-05,P001794,capture,4955,174,4781,USD,
S000526,2026-05-05,P019242,capture,2361,98,2263,USD,
S000527,2026-05-05,P001027,capture,2753,110,2643,USD,
S000528,2026-05-05,P009499,capture,676,50,626,USD,
S000532,2026-05-05,P009421,capture,6639,223,6416,USD,
S000533,2026-05-05,P003333,capture,1761,81,1680,USD,
S000535,2026-05-05,P017208,capture,4575,163,4412,USD,
S000536,2026-05-05,P004017,capture,4357,156,4201,USD,
S000537,2026-05-05,P014637,capture,880,56,824,USD,
S000538,2026-05-05,P000235,capture,9088,294,8794,USD,
S000539,2026-05-05,P014992,capture,774,52,722,USD,
S000540,2026-05-05,P017329,capture,3963,145,3818,USD,
S000541,2026-05-05,P018159,capture,5591,192,5399,USD,
S000544,2026-05-05,P005059,capture,8421,274,8147,USD,
S000545,2026-05-05,P019132,capture,29511,886,28625,USD,
S000551,2026-05-05,P000627,capture,2975,116,2859,USD,
S000552,2026-05-05,P003269,capture,1782,82,1700,USD,
S000553,2026-05-05,P002302,capture,5378,186,5192,USD,
S000555,2026-05-05,P011944,capture,8947,289,8658,USD,
S000559,2026-05-05,P008683,capture,9359,301,9058,USD,
S000563,2026-05-05,P006772,capture,14145,440,13705,USD,
S000564,2026-05-05,P006545,capture,6753,226,6527,USD,
S000567,2026-05-05,P016814,capture,6733,225,6508,USD,
S000568,2026-05-05,P010842,capture,11126,353,10773,USD,
S000570,2026-05-05,P004041,capture,4358,156,4202,USD,
S000572,2026-05-05,P006109,capture,5741,196,5545,USD,
S000573,2026-05-05,P014892,capture,2874,113,2761,USD,
S000574,2026-05-05,P014603,capture,11187,354,10833,USD,
S000577,2026-05-05,P008513,capture,7108,236,6872,USD,
S000578,2026-05-05,P013566,capture,7238,240,6998,USD,
S000579,2026-05-05,P018470,capture,3071,119,2952,USD,
S000580,2026-05-05,P003470,capture,7830,257,7573,USD,
S000581,2026-05-05,P007240,capture,3429,129,3300,USD,
S000582,2026-05-05,P008547,capture,3987,146,3841,USD,
S000583,2026-05-05,P010291,capture,2405,100,2305,USD,
S000586,2026-05-05,P015834,capture,4906,172,4734,USD,
S000587,2026-05-05,P019422,capture,14616,454,14162,USD,
S000588,2026-05-05,P001006,capture,2227,95,2132,USD,
S000590,2026-05-05,P013261,capture,1169,64,1105,USD,
S000592,2026-05-05,P009734,capture,2020,89,1931,USD,
S000596,2026-05-05,P004854,capture,12169,383,11786,USD,
S000597,2026-05-05,P012639,capture,3850,142,3708,USD,
S000598,2026-05-05,P014615,capture,9216,297,8919,USD,
S000600,2026-05-05,P007066,capture,7075,235,6840,USD,
S000601,2026-05-05,P000592,capture,2231,95,2136,USD,
S000602,2026-05-05,P013603,capture,4201,152,4049,USD,
S000604,2026-05-05,P002751,capture,2682,108,2574,USD,
S000605,2026-05-05,P007349,capture,8818,286,8532,USD,
S000606,2026-05-05,P007871,capture,19466,595,18871,USD,
S000608,2026-05-05,P003010,capture,3394,128,3266,USD,
S000613,2026-05-05,P012110,capture,14230,443,13787,USD,
S000614,2026-05-05,P016923,capture,5289,183,5106,USD,
S000615,2026-05-05,P017331,capture,8456,275,8181,USD,
S000616,2026-05-05,P015516,capture,7541,249,7292,USD,
S000618,2026-05-05,P009319,capture,6068,206,5862,USD,
S000619,2026-05-05,P014792,capture,4110,149,3961,USD,
S000621,2026-05-05,P006562,capture,13988,436,13552,USD,
S000622,2026-05-05,P006367,capture,20467,624,19843,USD,
S000625,2026-05-05,P006336,capture,4368,157,4211,USD,
S000627,2026-05-05,P006649,capture,2768,110,2658,USD,
S000629,2026-05-05,P001716,capture,2382,99,2283,USD,
S000630,2026-05-05,P015232,capture,2696,108,2588,USD,
S000631,2026-05-05,P014629,capture,5415,187,5228,USD,
S000634,2026-05-05,P003150,capture,28572,859,27713,USD,
S000635,2026-05-05,P008914,capture,1560,76,1484,EUR,converted at 1.0961
S000638,2026-05-05,P002587,capture,1695,79,1616,USD,
S000642,2026-05-05,P017889,capture,10375,331,10044,USD,
S000643,2026-05-05,P001063,capture,35492,1059,34433,USD,
S000644,2026-05-05,P001268,capture,1401,71,1330,USD,
S000646,2026-05-05,P019410,capture,6416,216,6200,USD,
S000648,2026-05-05,P019398,capture,427,42,385,USD,
S000650,2026-05-05,P001640,capture,15100,468,14632,USD,
S000651,2026-05-05,P010784,capture,4061,148,3913,USD,
S000652,2026-05-05,P013804,capture,2456,101,2355,USD,
S000654,2026-05-05,P013828,capture,2303,97,2206,USD,
S000656,2026-05-05,P005944,capture,32630,976,31654,USD,
S000657,2026-05-05,P000500,capture,4323,155,4168,USD,
S000658,2026-05-05,P018400,capture,6110,207,5903,USD,
S000659,2026-05-05,P013058,capture,6527,219,6308,USD,
S000660,2026-05-05,P005210,capture,2607,106,2501,USD,
S000662,2026-05-05,P000577,capture,1666,78,1588,USD,
S000663,2026-05-05,P015406,capture,7402,245,7157,USD,
S000668,2026-05-05,P004197,capture,11470,363,11107,USD,
S000669,2026-05-05,P004800,capture,3440,130,3310,USD,
S000670,2026-05-05,P000832,capture,2540,104,2436,USD,
S000671,2026-05-05,P009075,capture,3021,118,2903,USD,
S000672,2026-05-05,P009498,capture,3690,137,3553,USD,
S000673,2026-05-05,P012103,capture,3667,136,3531,USD,
S000675,2026-05-05,P000834,capture,10060,322,9738,USD,
S000676,2026-05-05,P018401,capture,1778,82,1696,USD,
S000677,2026-05-05,P013411,capture,4436,159,4277,USD,
S000679,2026-05-05,P009773,capture,5934,202,5732,USD,
S000680,2026-05-05,P000780,capture,9826,315,9511,USD,
S000681,2026-05-05,P002952,capture,7880,259,7621,USD,
S000682,2026-05-05,P014689,capture,12303,387,11916,USD,
S000684,2026-05-05,P014857,capture,34540,1032,33508,USD,
S000685,2026-05-05,P003792,capture,8453,275,8178,USD,
S000686,2026-05-05,P016491,capture,2186,93,2093,USD,
S000687,2026-05-05,P014374,capture,40732,1211,39521,USD,
S000689,2026-05-05,P013200,capture,1587,76,1511,USD,
S000690,2026-05-05,P013084,capture,2787,111,2676,USD,
S000691,2026-05-05,P015602,capture,491,44,447,USD,
S000693,2026-05-05,P014174,capture,20521,625,19896,USD,
S000694,2026-05-05,P002244,capture,2306,97,2209,USD,
S000695,2026-05-05,P016309,capture,25035,756,24279,USD,
S000696,2026-05-05,P013882,capture,7841,257,7584,USD,
S000697,2026-05-05,P017477,capture,11355,359,10996,USD,
S000698,2026-05-05,P005014,capture,7579,250,7329,USD,
S000699,2026-05-05,P015527,capture,7253,240,7013,USD,
S000700,2026-05-05,P019938,capture,10508,335,10173,USD,
S000701,2026-05-05,P008118,capture,3284,125,3159,USD,
S000704,2026-05-05,P017156,capture,9403,303,9100,USD,
S000706,2026-05-05,P015362,capture,13365,418,12947,USD,
S000707,2026-05-05,P005790,capture,2075,90,1985,USD,
S000709,2026-05-05,P018889,capture,5773,197,5576,USD,
S000710,2026-05-05,P017278,capture,13122,411,12711,USD,
S000712,2026-05-05,P006827,capture,53155,1571,51584,USD,
S000713,2026-05-05,P010741,capture,12944,405,12539,USD,
S000716,2026-05-05,P016242,capture,15597,482,15115,USD,
S000717,2026-05-05,P012513,capture,2299,97,2202,USD,
S000719,2026-05-05,P003176,capture,3903,143,3760,USD,
S000720,2026-05-05,P000056,capture,7716,254,7462,USD,
S000721,2026-05-05,P003380,capture,1012,59,953,USD,
S000725,2026-05-05,P001686,capture,15497,479,15018,USD,
S000726,2026-05-05,P001069,capture,24307,735,23572,USD,
S000728,2026-05-05,P016357,capture,20759,632,20127,USD,
S000729,2026-05-05,P010248,capture,1141,63,1078,USD,
S000730,2026-05-05,P003428,capture,30161,905,29256,USD,
S000732,2026-05-05,P005363,capture,4801,169,4632,USD,
S000734,2026-05-05,P004395,capture,8707,283,8424,USD,
S000735,2026-05-05,P019176,capture,2233,95,2138,USD,
S000736,2026-05-05,P006909,capture,3788,140,3648,USD,
S000738,2026-05-05,P007530,capture,18599,569,18030,USD,
S000739,2026-05-05,P002485,capture,2645,107,2538,USD,
S000740,2026-05-05,P018214,capture,4843,170,4673,USD,
S000741,2026-05-05,P003566,capture,2081,90,1991,USD,
S000742,2026-05-05,P013312,capture,5942,202,5740,USD,
S000743,2026-05-05,P018237,capture,25888,781,25107,USD,
S000744,2026-05-05,P002347,capture,5636,193,5443,USD,
S000745,2026-05-05,P009091,capture,5480,189,5291,USD,
S000746,2026-05-05,P015858,capture,3712,138,3574,USD,
S000747,2026-05-05,P001219,capture,4462,159,4303,USD,
S000748,2026-05-05,P001915,capture,3637,135,3502,USD,
S000750,2026-05-05,P000937,capture,4832,170,4662,USD,
S000753,2026-05-05,P008250,capture,57564,1699,55865,USD,
S000754,2026-05-05,P004199,capture,3281,125,3156,USD,
S000757,2026-05-05,P010758,capture,14443,449,13994,USD,
S000758,2026-05-05,P010742,capture,1869,84,1785,USD,
S000759,2026-05-05,P000262,capture,9857,316,9541,USD,
S000760,2026-05-05,P017904,capture,5876,200,5676,USD,
S000761,2026-05-05,P011197,capture,30159,905,29254,USD,
S000762,2026-05-05,P011935,capture,3099,120,2979,USD,
S000764,2026-05-05,P004491,capture,4327,155,4172,USD,
S000769,2026-05-05,P007913,capture,4646,165,4481,USD,
S000770,2026-05-05,P016366,capture,4404,158,4246,USD,
S000773,2026-05-05,P012021,capture,2222,94,2128,USD,
S000774,2026-05-05,P012215,capture,2397,100,2297,USD,
S000775,2026-05-05,P014803,capture,2940,115,2825,USD,
