event_id,payment_id,at,event,amount_minor,result,decline_code,latency_ms
E006799,P003570,2026-05-04T01:09:29,authorize,7429,declined,insufficient_funds,136
E019560,P010287,2026-05-04T01:09:55,authorize,3286,approved,,403
E031911,P016799,2026-05-04T01:10:25,authorize,16476,approved,,1085
E032546,P017131,2026-05-04T01:14:39,authorize,2483,approved,,1118
E003844,P002012,2026-05-04T01:17:05,authorize,74406,approved,,353
E032012,P016851,2026-05-04T01:18:01,authorize,12861,approved,,759
E022683,P011929,2026-05-04T01:22:15,authorize,6813,declined,insufficient_funds,399
E028997,P015259,2026-05-04T01:27:45,authorize,19627,approved,,195
E008145,P004289,2026-05-04T01:33:14,authorize,4783,approved,,564
E000749,P000394,2026-05-04T01:40:21,authorize,3154,declined,do_not_honor,752
E018425,P009696,2026-05-04T01:44:28,authorize,30315,approved,,500
E026885,P014155,2026-05-04T01:46:49,authorize,24301,declined,do_not_honor,518
E025011,P013164,2026-05-04T01:48:54,authorize,5158,declined,expired_card,159
E010888,P005717,2026-05-04T01:54:31,authorize,1577,approved,,156
E033830,P017803,2026-05-04T02:00:36,authorize,5851,approved,,318
E035101,P018466,2026-05-04T02:05:50,authorize,8110,approved,,472
E010227,P005373,2026-05-04T02:09:39,authorize,2944,approved,,159
E022527,P011848,2026-05-04T02:12:05,authorize,9112,declined,insufficient_funds,269
E036167,P019043,2026-05-04T02:13:00,authorize,6222,approved,,974
E029202,P015369,2026-05-04T02:16:57,authorize,27051,approved,,229
E035693,P018787,2026-05-04T02:17:51,authorize,635,approved,,999
E000023,P000013,2026-05-04T02:19:39,authorize,1379,approved,,163
E021219,P011159,2026-05-04T02:20:17,authorize,4562,approved,,520
E016400,P008637,2026-05-04T02:22:45,authorize,7701,approved,,859
E025160,P013241,2026-05-04T02:24:57,authorize,4673,approved,,252
E012087,P006353,2026-05-04T02:25:12,authorize,8799,approved,,1003
E005604,P002940,2026-05-04T02:25:58,authorize,1392,approved,,397
E028860,P015188,2026-05-04T02:26:37,void,767,,,
E004667,P002451,2026-05-04T02:27:13,authorize,2319,approved,,366
E037474,P019735,2026-05-04T02:29:12,capture,7766,,,
E006635,P003482,2026-05-04T02:29:20,authorize,25607,approved,,1164
E037715,P019861,2026-05-04T02:37:49,authorize,445,declined,insufficient_funds,167
E012339,P006483,2026-05-04T02:39:05,authorize,7633,approved,,793
E014715,P007745,2026-05-04T02:39:27,authorize,9064,approved,,173
E028273,P014881,2026-05-04T02:39:47,authorize,2907,approved,,599
E018426,P009696,2026-05-04T02:42:28,void,30315,,,
E006458,P003386,2026-05-04T02:43:41,capture,5930,,,
E016905,P008906,2026-05-04T02:44:50,capture,13824,,,
E035663,P018771,2026-05-04T02:47:13,capture,6356,,,
E021734,P011426,2026-05-04T02:47:36,capture,4627,,,
E012972,P006821,2026-05-04T02:48:48,capture,7012,,,
E018431,P009699,2026-05-04T02:52:16,authorize,5650,timeout,,29061
E036126,P019021,2026-05-04T02:53:27,authorize,54333,approved,,1160
E036792,P019379,2026-05-04T02:53:39,authorize,9686,approved,,556
E002709,P001420,2026-05-04T03:10:36,capture,2052,,,
E008300,P004368,2026-05-04T03:11:43,capture,12193,,,
E019858,P010443,2026-05-04T03:14:02,authorize,7973,approved,,280
E028662,P015085,2026-05-04T03:15:15,authorize,4403,approved,,477
E031210,P016425,2026-05-04T03:16:12,capture,9075,,,
E029520,P015537,2026-05-04T03:18:37,capture,27045,,,
E022212,P011682,2026-05-04T03:21:09,authorize,5046,approved,,91
E014113,P007425,2026-05-04T03:21:10,authorize,1628,approved,,269
E018751,P009863,2026-05-04T03:22:51,authorize,3526,approved,,684
E015460,P008142,2026-05-04T03:29:15,authorize,5947,approved,,314
E032836,P017284,2026-05-04T03:30:47,authorize,20222,approved,,1130
E021166,P011131,2026-05-04T03:33:21,authorize,2200,approved,,1197
E024268,P012770,2026-05-04T03:33:38,authorize,2319,approved,,267
E019561,P010287,2026-05-04T03:38:55,capture,3286,,,
E021040,P011064,2026-05-04T03:40:30,authorize,12534,approved,,180
E011173,P005866,2026-05-04T03:51:18,authorize,2821,approved,,471
E006188,P003242,2026-05-04T03:54:29,authorize,15453,approved,,186
E014526,P007648,2026-05-04T03:56:02,authorize,6385,approved,,746
E014787,P007784,2026-05-04T04:02:47,authorize,24250,approved,,300
E028998,P015259,2026-05-04T04:05:45,capture,19627,,,
E016199,P008533,2026-05-04T04:08:03,authorize,9041,approved,,588
E012761,P006710,2026-05-04T04:10:23,authorize,6462,approved,,794
E012957,P006814,2026-05-04T04:11:12,authorize,6230,approved,,227
E010889,P005717,2026-05-04T04:14:31,capture,1577,,,
E025161,P013241,2026-05-04T04:27:57,capture,3912,,,
E004668,P002451,2026-05-04T04:35:13,void,2319,,,
E032879,P017307,2026-05-04T04:36:32,authorize,14489,declined,incorrect_cvc,231
E033018,P017380,2026-05-04T04:37:03,authorize,2879,approved,,189
E015461,P008142,2026-05-04T04:39:15,void,5947,,,
E027108,P014275,2026-05-04T04:42:21,authorize,2046,approved,,681
E036168,P019043,2026-05-04T04:45:00,void,6222,,,
E024366,P012823,2026-05-04T04:45:20,authorize,3557,approved,,1064
E017168,P009044,2026-05-04T04:59:16,authorize,5108,approved,,1150
E023388,P012302,2026-05-04T05:02:43,authorize,8362,approved,,501
E018172,P009566,2026-05-04T05:03:18,authorize,3669,approved,,975
E016401,P008637,2026-05-04T05:05:45,capture,7701,,,
E032358,P017031,2026-05-04T05:05:52,authorize,11182,approved,,1118
E031912,P016799,2026-05-04T05:07:25,void,16476,,,
E008153,P004293,2026-05-04T05:09:53,authorize,6805,approved,,545
E019247,P010125,2026-05-04T05:10:08,authorize,4506,approved,,683
E020442,P010755,2026-05-04T05:11:35,authorize,19210,approved,,374
E005605,P002940,2026-05-04T05:17:58,capture,1392,,,
E018257,P009609,2026-05-04T05:18:59,authorize,3382,approved,,617
E028274,P014881,2026-05-04T05:19:47,capture,2907,,,
E006823,P003584,2026-05-04T05:20:41,authorize,3183,approved,,293
E019859,P010443,2026-05-04T05:22:02,capture,7973,,,
E004810,P002529,2026-05-04T05:22:25,authorize,3345,approved,,940
E004688,P002463,2026-05-04T05:26:48,authorize,3565,approved,,788
E002689,P001410,2026-05-04T05:29:55,authorize,8798,approved,,596
E016944,P008927,2026-05-04T05:30:33,authorize,5505,approved,,1112
E021167,P011131,2026-05-04T05:33:21,capture,2200,,,
E012506,P006572,2026-05-04T05:33:38,authorize,2556,approved,,204
E013222,P006955,2026-05-04T05:34:32,authorize,14824,approved,,707
E030203,P015893,2026-05-04T05:34:42,authorize,9812,approved,,808
E021620,P011366,2026-05-04T05:38:36,authorize,6409,approved,,845
E021041,P011064,2026-05-04T05:44:30,capture,12534,,,
E026094,P013739,2026-05-04T05:45:34,authorize,1423,approved,,270
E027197,P014321,2026-05-04T05:45:49,authorize,1252,approved,,1085
E028481,P014990,2026-05-04T05:51:46,authorize,885,approved,,965
E000916,P000484,2026-05-04T05:55:07,authorize,1504,declined,expired_card,557
E009884,P005189,2026-05-04T05:57:13,authorize,22150,approved,,716
E034252,P018024,2026-05-04T06:02:02,authorize,2539,approved,,664
E008998,P004728,2026-05-04T06:02:11,authorize,30476,approved,,544
E012850,P006758,2026-05-04T06:03:18,authorize,4855,approved,,473
E035225,P018534,2026-05-04T06:03:26,authorize,2113,declined,velocity_exceeded,558
E033605,P017687,2026-05-04T06:04:30,authorize,1502,approved,,1116
E027418,P014434,2026-05-04T06:07:46,authorize,15392,approved,,607
E022819,P012003,2026-05-04T06:12:27,authorize,6398,approved,,997
E005887,P003089,2026-05-04T06:12:42,authorize,13419,approved,,1021
E026655,P014036,2026-05-04T06:14:41,authorize,15873,approved,,465
E017785,P009361,2026-05-04T06:16:04,authorize,10520,approved,,800
E023060,P012127,2026-05-04T06:16:40,authorize,2118,approved,,284
E026613,P014014,2026-05-04T06:16:42,authorize,17086,approved,,220
E008649,P004550,2026-05-04T06:17:02,authorize,629,approved,,1016
E021320,P011211,2026-05-04T06:17:42,authorize,5192,approved,,535
E025114,P013216,2026-05-04T06:17:56,authorize,3430,approved,,616
E026436,P013919,2026-05-04T06:17:59,authorize,8087,timeout,,28053
E032653,P017191,2026-05-04T06:18:09,authorize,4367,approved,,954
E002523,P001323,2026-05-04T06:19:50,authorize,3367,declined,insufficient_funds,672
E024692,P012993,2026-05-04T06:20:03,authorize,2366,approved,,638
E014114,P007425,2026-05-04T06:20:10,capture,1628,,,
E008748,P004601,2026-05-04T06:20:30,authorize,12289,approved,,1193
E026694,P014055,2026-05-04T06:22:19,authorize,5057,approved,,505
E032011,P016850,2026-05-04T06:23:40,authorize,1927,declined,incorrect_cvc,248
E002571,P001349,2026-05-04T06:25:24,authorize,2589,approved,,909
E027125,P014283,2026-05-04T06:25:48,authorize,4108,declined,pickup_card,180
E019707,P010367,2026-05-04T06:26:08,authorize,8438,approved,,477
E005487,P002882,2026-05-04T06:26:11,authorize,1289,approved,,823
E014788,P007784,2026-05-04T06:27:47,capture,24250,,,
E012961,P006816,2026-05-04T06:27:53,authorize,6615,approved,,680
E027925,P014699,2026-05-04T06:27:55,authorize,7073,approved,,1039
E002310,P001210,2026-05-04T06:28:24,authorize,8680,declined,incorrect_cvc,514
E034697,P018256,2026-05-04T06:28:50,authorize,2585,approved,,632
E011113,P005837,2026-05-04T06:29:09,authorize,1382,declined,insufficient_funds,522
E008671,P004561,2026-05-04T06:29:53,authorize,6108,approved,,528
E019104,P010050,2026-05-04T06:30:39,authorize,16545,approved,,191
E028794,P015154,2026-05-04T06:30:39,authorize,1272,approved,,541
E009064,P004762,2026-05-04T06:31:59,authorize,5847,approved,,1156
E029199,P015367,2026-05-04T06:33:46,authorize,1410,approved,,861
E019905,P010468,2026-05-04T06:36:36,authorize,16923,approved,,328
E033019,P017380,2026-05-04T06:37:03,capture,2879,,,
E008633,P004542,2026-05-04T06:37:06,authorize,14403,approved,,870
E008379,P004409,2026-05-04T06:41:26,authorize,17071,approved,,871
E030522,P016060,2026-05-04T06:42:17,authorize,7246,approved,,358
E031457,P016555,2026-05-04T06:42:27,authorize,5487,timeout,,29776
E005946,P003120,2026-05-04T06:42:28,authorize,1994,approved,,192
E009174,P004819,2026-05-04T06:43:31,authorize,2746,approved,,283
E032940,P017340,2026-05-04T06:44:03,authorize,5196,declined,do_not_honor,900
E011448,P006016,2026-05-04T06:47:14,authorize,830,approved,,705
E019085,P010040,2026-05-04T06:47:40,authorize,5862,approved,,164
E012921,P006794,2026-05-04T06:47:41,authorize,7633,approved,,187
E005885,P003088,2026-05-04T06:49:14,authorize,14964,approved,,302
E005586,P002931,2026-05-04T06:50:34,authorize,39672,approved,,218
E008928,P004691,2026-05-04T06:51:02,authorize,7876,approved,,562
E023061,P012127,2026-05-04T06:51:40,void,2118,,,
E034423,P018112,2026-05-04T06:52:17,authorize,4517,approved,,285
E032156,P016928,2026-05-04T06:53:28,authorize,2193,approved,,1186
E019623,P010320,2026-05-04T06:54:07,authorize,5282,approved,,594
E026394,P013896,2026-05-04T06:55:06,authorize,15168,approved,,796
E002001,P001046,2026-05-04T06:55:30,authorize,3613,declined,insufficient_funds,147
E012958,P006814,2026-05-04T06:57:12,capture,6230,,,
E018883,P009933,2026-05-04T06:59:19,authorize,5678,declined,insufficient_funds,796
E031297,P016470,2026-05-04T06:59:26,authorize,3208,approved,,696
E026656,P014036,2026-05-04T06:59:41,void,15873,,,
E024066,P012667,2026-05-04T07:00:01,authorize,1502,approved,,910
E005984,P003140,2026-05-04T07:00:05,authorize,2551,approved,,645
E007255,P003814,2026-05-04T07:00:23,authorize,2108,approved,,197
E011974,P006294,2026-05-04T07:00:48,authorize,13335,approved,,379
E022900,P012043,2026-05-04T07:01:41,authorize,3827,approved,,1086
E014922,P007855,2026-05-04T07:03:55,authorize,5317,approved,,226
E011899,P006255,2026-05-04T07:03:57,authorize,18879,approved,,711
E000811,P000428,2026-05-04T07:04:14,authorize,3678,approved,,83
E029448,P015498,2026-05-04T07:05:10,authorize,7797,declined,incorrect_cvc,751
E027727,P014599,2026-05-04T07:05:15,authorize,7789,approved,,136
E014182,P007461,2026-05-04T07:05:20,authorize,3852,approved,,449
E009068,P004764,2026-05-04T07:05:31,authorize,11357,approved,,557
E006435,P003375,2026-05-04T07:05:39,authorize,1744,approved,,269
E030699,P016155,2026-05-04T07:07:23,authorize,4872,approved,,388
E033262,P017510,2026-05-04T07:07:29,authorize,17748,approved,,858
E031087,P016362,2026-05-04T07:07:42,authorize,6622,approved,,821
E031258,P016451,2026-05-04T07:07:54,authorize,5910,approved,,988
E023199,P012202,2026-05-04T07:08:18,authorize,6020,approved,,297
E018167,P009563,2026-05-04T07:08:25,authorize,4899,approved,,368
E001881,P000985,2026-05-04T07:08:27,authorize,15120,approved,,156
E031163,P016401,2026-05-04T07:08:28,authorize,12503,approved,,228
E023285,P012247,2026-05-04T07:10:08,authorize,1298,approved,,809
E033198,P017476,2026-05-04T07:11:04,authorize,19711,approved,,1140
E027688,P014578,2026-05-04T07:11:07,authorize,1809,approved,,484
E026421,P013911,2026-05-04T07:11:31,authorize,1196,declined,do_not_honor,625
E007198,P003783,2026-05-04T07:11:42,authorize,11570,approved,,870
E025597,P013469,2026-05-04T07:12:31,authorize,1560,declined,expired_card,565
E034061,P017925,2026-05-04T07:13:02,authorize,7252,approved,,593
E000762,P000401,2026-05-04T07:13:03,authorize,1711,approved,,1137
E012063,P006341,2026-05-04T07:13:11,authorize,3059,approved,,675
E001429,P000755,2026-05-04T07:13:28,authorize,1771,approved,,933
E028482,P014990,2026-05-04T07:13:46,void,885,,,
E026984,P014211,2026-05-04T07:14:10,authorize,3926,approved,,320
E034090,P017940,2026-05-04T07:14:39,authorize,2974,approved,,592
E027280,P014363,2026-05-04T07:15:30,authorize,5023,approved,,840
E033315,P017537,2026-05-04T07:15:56,authorize,4556,declined,velocity_exceeded,426
E008036,P004234,2026-05-04T07:15:59,authorize,19716,declined,insufficient_funds,719
E019018,P010005,2026-05-04T07:16:00,authorize,20751,approved,,320
E029460,P015505,2026-05-04T07:17:38,authorize,25282,declined,do_not_honor,521
E009770,P005130,2026-05-04T07:17:58,authorize,2855,approved,,409
E005814,P003051,2026-05-04T07:18:41,authorize,7523,approved,,822
E029941,P015756,2026-05-04T07:19:40,authorize,3367,approved,,1090
E021503,P011305,2026-05-04T07:20:06,authorize,22663,approved,,744
E008728,P004591,2026-05-04T07:21:51,authorize,3721,approved,,1031
E003380,P001770,2026-05-04T07:23:32,authorize,1875,approved,,744
E007335,P003857,2026-05-04T07:24:22,authorize,4806,approved,,757
E029113,P015321,2026-05-04T07:25:08,authorize,4987,approved,,939
E011872,P006241,2026-05-04T07:25:18,authorize,2595,approved,,84
E008154,P004293,2026-05-04T07:26:53,capture,6805,,,
E009639,P005062,2026-05-04T07:27:22,authorize,2929,approved,,1172
E035643,P018761,2026-05-04T07:28:33,authorize,5868,approved,,582
E000385,P000202,2026-05-04T07:28:54,authorize,2264,declined,velocity_exceeded,95
E002603,P001367,2026-05-04T07:30:00,authorize,2662,approved,,525
E004396,P002307,2026-05-04T07:30:00,authorize,13889,declined,insufficient_funds,816
E035315,P018582,2026-05-04T07:30:44,authorize,1298,approved,,549
E001498,P000788,2026-05-04T07:31:08,authorize,1633,approved,,1147
E030409,P016000,2026-05-04T07:31:34,authorize,4673,approved,,779
E036473,P019208,2026-05-04T07:32:09,authorize,6604,approved,,613
E036571,P019262,2026-05-04T07:32:09,authorize,21062,approved,,568
E017697,P009316,2026-05-04T07:33:08,authorize,5851,approved,,672
E002227,P001166,2026-05-04T07:33:25,authorize,2971,declined,insufficient_funds,730
E029430,P015488,2026-05-04T07:33:56,authorize,6347,declined,pickup_card,851
E035576,P018725,2026-05-04T07:34:27,authorize,3841,approved,,304
E008329,P004383,2026-05-04T07:35:15,authorize,10498,approved,,720
E021886,P011510,2026-05-04T07:36:45,authorize,4910,approved,,373
E037312,P019654,2026-05-04T07:37:45,authorize,2597,approved,,614
E037208,P019599,2026-05-04T07:37:47,authorize,5323,approved,,512
E018612,P009789,2026-05-04T07:37:57,authorize,11712,approved,,237
E006972,P003662,2026-05-04T07:39:21,authorize,1075,approved,,1001
E017115,P009014,2026-05-04T07:40:21,authorize,2434,approved,,460
E003101,P001627,2026-05-04T07:41:13,authorize,679,approved,,451
E028979,P015249,2026-05-04T07:42:06,authorize,10219,approved,,617
E029635,P015596,2026-05-04T07:42:36,authorize,11213,approved,,311
E001706,P000897,2026-05-04T07:42:49,authorize,855,approved,,688
E028451,P014974,2026-05-04T07:43:18,authorize,8254,approved,,685
E005208,P002735,2026-05-04T07:43:43,authorize,61814,approved,,700
E020582,P010828,2026-05-04T07:43:44,authorize,17999,approved,,428
E009885,P005189,2026-05-04T07:44:13,void,22150,,,
E031062,P016349,2026-05-04T07:44:17,authorize,2719,approved,,568
E012213,P006417,2026-05-04T07:45:21,authorize,11451,approved,,407
E018149,P009554,2026-05-04T07:45:43,authorize,5213,approved,,1158
E013584,P007145,2026-05-04T07:47:59,authorize,6986,approved,,1020
E001568,P000824,2026-05-04T07:48:48,authorize,22072,approved,,838
E017694,P009314,2026-05-04T07:48:49,authorize,15648,declined,insufficient_funds,509
E006586,P003456,2026-05-04T07:49:16,authorize,3836,declined,insufficient_funds,666
E004363,P002290,2026-05-04T07:49:29,authorize,466,approved,,754
E026635,P014026,2026-05-04T07:51:16,authorize,3994,approved,,98
E025867,P013613,2026-05-04T07:51:58,authorize,20397,approved,,1063
E017938,P009441,2026-05-04T07:52:02,authorize,5114,approved,,769
E016683,P008788,2026-05-04T07:52:05,authorize,2627,approved,,651
E013223,P006955,2026-05-04T07:52:32,capture,14824,,,
E017505,P009218,2026-05-04T07:54:49,authorize,12294,declined,insufficient_funds,861
E036464,P019203,2026-05-04T07:55:41,authorize,3978,approved,,1022
E025612,P013477,2026-05-04T07:56:27,authorize,5666,approved,,402
E001306,P000691,2026-05-04T07:56:34,authorize,10700,approved,,430
E005548,P002912,2026-05-04T07:57:06,authorize,8556,approved,,216
E028648,P015078,2026-05-04T07:57:16,authorize,2952,approved,,697
E018390,P009678,2026-05-04T07:57:30,authorize,4123,approved,,866
E033423,P017594,2026-05-04T07:57:49,authorize,5075,approved,,859
E008278,P004357,2026-05-04T07:59:16,authorize,2884,approved,,1088
E002082,P001090,2026-05-04T07:59:50,authorize,7354,approved,,1153
E017928,P009436,2026-05-04T08:00:16,authorize,3746,approved,,912
E012634,P006640,2026-05-04T08:01:23,authorize,547,approved,,191
E010134,P005323,2026-05-04T08:01:43,authorize,16327,approved,,870
E004944,P002597,2026-05-04T08:01:58,authorize,18939,approved,,1135
E007761,P004086,2026-05-04T08:02:18,authorize,16245,approved,,715
E010281,P005400,2026-05-04T08:02:46,authorize,2552,approved,,1148
E018258,P009609,2026-05-04T08:02:59,capture,3382,,,
E011854,P006229,2026-05-04T08:03:09,authorize,4571,declined,insufficient_funds,360
E029799,P015682,2026-05-04T08:03:18,authorize,4839,approved,,1033
E012424,P006527,2026-05-04T08:03:37,authorize,8698,approved,,1137
E020140,P010590,2026-05-04T08:04:46,authorize,5267,approved,,1169
E029346,P015444,2026-05-04T08:06:00,authorize,7040,approved,,540
E027504,P014479,2026-05-04T08:06:26,authorize,38229,declined,insufficient_funds,899
E026095,P013739,2026-05-04T08:06:34,capture,892,,,
E015701,P008269,2026-05-04T08:06:56,authorize,29917,approved,,439
E024612,P012951,2026-05-04T08:07:05,authorize,5487,approved,,520
E037403,P019699,2026-05-04T08:07:57,authorize,30573,approved,,316
E035801,P018845,2026-05-04T08:07:59,authorize,11500,approved,,267
E016912,P008911,2026-05-04T08:08:39,authorize,2794,approved,,80
E013436,P007069,2026-05-04T08:08:48,authorize,939,approved,,1000
E032652,P017190,2026-05-04T08:09:20,authorize,6255,declined,insufficient_funds,810
E015435,P008128,2026-05-04T08:09:23,authorize,2379,approved,,853
E003750,P001963,2026-05-04T08:09:40,authorize,30283,approved,,380
E004371,P002294,2026-05-04T08:10:46,authorize,2990,approved,,151
E006358,P003334,2026-05-04T08:11:09,authorize,6036,approved,,401
E007482,P003935,2026-05-04T08:11:09,authorize,8090,approved,,205
E032134,P016916,2026-05-04T08:13:00,authorize,2631,approved,,1044
E023467,P012344,2026-05-04T08:13:13,authorize,1936,approved,,1003
E029325,P015433,2026-05-04T08:13:30,authorize,15702,approved,,1060
E030148,P015862,2026-05-04T08:13:53,authorize,4134,approved,,277
E034974,P018398,2026-05-04T08:14:07,authorize,8135,approved,,843
E017614,P009273,2026-05-04T08:14:57,authorize,3769,approved,,858
E034732,P018275,2026-05-04T08:15:41,authorize,4068,approved,,335
E011657,P006123,2026-05-04T08:16:13,authorize,3690,approved,,839
E035150,P018494,2026-05-04T08:16:20,authorize,8954,timeout,,29009
E000769,P000405,2026-05-04T08:16:54,authorize,9082,approved,,1133
E008883,P004669,2026-05-04T08:16:56,authorize,2936,approved,,983
E015821,P008331,2026-05-04T08:17:35,authorize,9201,declined,incorrect_cvc,699
E010432,P005480,2026-05-04T08:18:22,authorize,11128,declined,insufficient_funds,846
E017833,P009386,2026-05-04T08:19:06,authorize,15819,declined,pickup_card,294
E035400,P018628,2026-05-04T08:19:39,authorize,7947,declined,do_not_honor,491
E034253,P018024,2026-05-04T08:21:02,capture,2539,,,
E018762,P009869,2026-05-04T08:21:08,authorize,3430,approved,,651
E013650,P007178,2026-05-04T08:21:54,authorize,23846,declined,insufficient_funds,882
E003161,P001658,2026-05-04T08:22:12,authorize,3097,approved,,376
E008500,P004472,2026-05-04T08:23:29,authorize,2069,declined,expired_card,582
E033537,P017652,2026-05-04T08:24:20,authorize,11207,declined,insufficient_funds,354
E029080,P015305,2026-05-04T08:24:27,authorize,1890,approved,,599
E001165,P000613,2026-05-04T08:24:39,authorize,10604,approved,,1019
E011886,P006248,2026-05-04T08:24:49,authorize,16228,approved,,184
E036270,P019097,2026-05-04T08:25:01,authorize,5078,approved,,395
E014080,P007408,2026-05-04T08:25:03,authorize,2063,approved,,340
E026614,P014014,2026-05-04T08:26:42,capture,17086,,,
E014707,P007741,2026-05-04T08:27:16,authorize,18438,approved,,114
E029826,P015696,2026-05-04T08:27:21,authorize,4183,approved,,1026
E017804,P009371,2026-05-04T08:27:31,authorize,9395,approved,,428
E004842,P002545,2026-05-04T08:28:22,authorize,4814,approved,,202
E033748,P017761,2026-05-04T08:28:53,authorize,7869,approved,,649
E017055,P008983,2026-05-04T08:30:10,authorize,589,approved,,1162
E036219,P019070,2026-05-04T08:31:03,authorize,5407,approved,,660
E033324,P017542,2026-05-04T08:31:29,authorize,5879,approved,,82
E005888,P003089,2026-05-04T08:31:42,capture,13419,,,
E001648,P000867,2026-05-04T08:32:50,authorize,4765,approved,,356
E000000,P000001,2026-05-04T08:33:00,authorize,5677,declined,insufficient_funds,653
E019782,P010405,2026-05-04T08:33:44,authorize,2857,approved,,1073
E010091,P005298,2026-05-04T08:33:49,authorize,4115,declined,insufficient_funds,676
E020409,P010738,2026-05-04T08:34:12,authorize,2268,approved,,105
E020370,P010718,2026-05-04T08:34:46,authorize,1089,approved,,463
E014930,P007859,2026-05-04T08:35:00,authorize,5781,approved,,852
E016585,P008734,2026-05-04T08:35:37,authorize,11417,approved,,488
E006916,P003632,2026-05-04T08:36:01,authorize,31048,approved,,944
E033801,P017789,2026-05-04T08:36:42,authorize,4614,approved,,929
E029558,P015558,2026-05-04T08:36:46,authorize,10441,approved,,1043
E022423,P011796,2026-05-04T08:37:15,authorize,4120,approved,,612
E029418,P015481,2026-05-04T08:37:40,authorize,35544,approved,,896
E020719,P010898,2026-05-04T08:38:55,authorize,8574,approved,,713
E000888,P000469,2026-05-04T08:38:58,authorize,18954,approved,,481
E004189,P002197,2026-05-04T08:39:04,authorize,1259,declined,insufficient_funds,267
E014513,P007641,2026-05-04T08:40:27,authorize,11349,approved,,502
E021321,P011211,2026-05-04T08:40:42,capture,2357,,,
E029872,P015721,2026-05-04T08:41:10,authorize,4239,approved,,265
E012341,P006484,2026-05-04T08:41:17,authorize,4279,approved,,1197
E001866,P000977,2026-05-04T08:41:21,authorize,740,approved,,723
E037560,P019780,2026-05-04T08:41:49,authorize,16600,approved,,1116
E013368,P007034,2026-05-04T08:43:04,capture,3216,,,
E012045,P006331,2026-05-04T08:43:24,authorize,8179,approved,,571
E005382,P002827,2026-05-04T08:43:35,authorize,2768,approved,,213
E004365,P002291,2026-05-04T08:43:42,authorize,4321,approved,,725
E025574,P013457,2026-05-04T08:44:08,authorize,15188,approved,,1084
E016690,P008792,2026-05-04T08:44:11,authorize,9974,approved,,810
E012358,P006494,2026-05-04T08:44:15,authorize,27208,approved,,960
E032654,P017191,2026-05-04T08:45:09,capture,4367,,,
E014928,P007858,2026-05-04T08:45:36,authorize,5219,approved,,644
E008148,P004290,2026-05-04T08:45:44,capture,6869,,,
E023054,P012123,2026-05-04T08:46:19,authorize,12103,approved,,755
E010727,P005634,2026-05-04T08:47:08,authorize,5803,approved,,463
E033885,P017832,2026-05-04T08:47:36,authorize,7392,approved,,1167
E031967,P016827,2026-05-04T08:47:55,capture,12046,,,
E005488,P002882,2026-05-04T08:48:11,capture,848,,,
E007458,P003922,2026-05-04T08:48:15,authorize,3267,approved,,955
E025392,P013359,2026-05-04T08:48:59,capture,7648,,,
E021791,P011457,2026-05-04T08:49:36,authorize,18348,approved,,1091
