txn_id,timestamp,customer_id,amount,category,country,card_present,hours_since_prev_txn,txns_last_1h,is_fraud
T105029,2025-06-01 11:56:00,C1359,56.52,clothing,VN,0,5.36,1,0
T104415,2025-06-01 12:01:00,C1198,16.92,restaurant,VN,0,35.09,0,0
T104137,2025-06-01 12:03:00,C1367,10.85,travel,VN,0,3.45,0,0
T105042,2025-06-01 12:07:00,C1227,18.89,grocery,VN,0,2.55,0,0
T105272,2025-06-01 12:14:00,C1138,21.6,travel,VN,1,16.84,0,0
T104627,2025-06-01 12:24:00,C1211,30.76,restaurant,VN,0,7.41,1,0
T105438,2025-06-01 12:33:00,C1355,16.9,fuel,VN,0,2.27,0,0
T103274,2025-06-01 12:36:00,C1239,57.37,travel,VN,1,8.29,0,0
T101095,2025-06-01 12:38:00,C1118,132.41,travel,VN,1,8.22,2,0
T105508,2025-06-01 12:38:00,C1304,13.63,restaurant,VN,0,23.74,1,0
T102158,2025-06-01 13:07:00,C1224,16.78,electronics,VN,0,28.36,0,0
T101933,2025-06-01 13:09:00,C1171,10.58,fuel,VN,1,1.64,2,0
T100089,2025-06-01 13:10:00,C1380,7.53,gaming,VN,0,12.99,2,0
T101255,2025-06-01 13:10:00,C1394,40.27,electronics,VN,0,2.83,0,0
T104552,2025-06-01 13:17:00,C1107,8.41,grocery,NG,1,27.14,0,0
T102392,2025-06-01 13:39:00,C1249,78.0,grocery,VN,1,26.85,0,0
T100786,2025-06-01 13:42:00,C1112,18.81,grocery,VN,1,0.99,1,0
T103000,2025-06-01 13:44:00,C1357,9.38,gaming,NG,0,5.55,0,0
T102779,2025-06-01 14:07:00,C1101,9.19,travel,VN,1,16.96,1,0
T102921,2025-06-01 14:07:00,C1092,28.08,restaurant,VN,0,6.85,1,0
T102312,2025-06-01 14:08:00,C1314,103.37,clothing,VN,1,69.99,0,0
T102982,2025-06-01 14:15:00,C1314,42.61,grocery,VN,1,7.51,1,0
T101433,2025-06-01 14:24:00,C1358,36.24,restaurant,VN,0,41.43,0,0
T105699,2025-06-01 14:27:00,C1256,55.77,travel,VN,1,5.28,1,0
T102789,2025-06-01 14:30:00,C1139,56.95,grocery,VN,1,12.43,0,0
T100667,2025-06-01 14:36:00,C1093,12.87,fuel,VN,1,11.52,0,0
T105957,2025-06-01 14:38:00,C1152,7.26,pharmacy,VN,1,13.03,2,0
T104021,2025-06-01 15:07:00,C1020,45.83,fuel,VN,1,7.67,0,0
T105034,2025-06-01 15:16:00,C1257,60.03,gaming,VN,0,4.18,0,0
T101222,2025-06-01 15:32:00,C1400,7.55,clothing,VN,1,30.48,1,0
T105122,2025-06-01 15:44:00,C1061,14.51,grocery,VN,1,1.23,0,0
T101262,2025-06-01 15:55:00,C1181,40.09,fuel,VN,0,1.43,2,0
T102917,2025-06-01 16:07:00,C1060,22.27,fuel,VN,1,25.03,1,0
T101198,2025-06-01 16:27:00,C1026,32.18,pharmacy,VN,1,19.11,0,0
T103689,2025-06-01 16:50:00,C1202,52.07,electronics,VN,0,5.49,0,0
T101988,2025-06-01 16:54:00,C1044,11.88,travel,VN,0,20.22,0,0
T101134,2025-06-01 17:01:00,C1050,9.3,pharmacy,VN,1,4.29,0,0
T100708,2025-06-01 17:14:00,C1230,31.13,pharmacy,VN,1,13.94,0,0
T101570,2025-06-01 17:18:00,C1064,20.47,grocery,VN,1,3.49,0,0
T102362,2025-06-01 17:30:00,C1329,1.75,grocery,VN,0,2.82,0,0
T100955,2025-06-01 18:19:00,C1201,29.12,pharmacy,VN,1,21.95,0,0
T100186,2025-06-01 18:22:00,C1292,42.08,clothing,VN,1,9.44,2,0
T104639,2025-06-01 18:26:00,C1139,99.93,clothing,VN,0,16.31,0,0
T100414,2025-06-01 18:29:00,C1267,26.54,electronics,VN,1,5.48,0,0
T103820,2025-06-01 18:33:00,C1207,32.87,pharmacy,VN,1,9.4,0,0
T100538,2025-06-01 18:35:00,C1014,20.37,electronics,VN,0,1.53,0,0
T102858,2025-06-01 18:45:00,C1276,20.94,clothing,VN,1,9.31,0,0
T104585,2025-06-01 18:58:00,C1008,29.72,gaming,VN,0,4.03,3,0
T102072,2025-06-01 19:00:00,C1375,10.06,travel,VN,0,6.06,1,0
T104345,2025-06-01 19:04:00,C1333,16.33,fuel,VN,1,59.86,0,0
T105963,2025-06-01 19:05:00,C1231,29.56,restaurant,VN,1,19.47,0,0
T104069,2025-06-01 19:12:00,C1267,121.71,grocery,VN,1,24.9,0,0
T102699,2025-06-01 19:13:00,C1088,12.71,electronics,VN,0,7.68,0,0
T105319,2025-06-01 19:33:00,C1281,38.53,travel,VN,0,83.76,0,0
T101084,2025-06-01 19:36:00,C1249,12.44,electronics,VN,0,20.37,2,0
T100310,2025-06-01 19:53:00,C1087,31.78,fuel,VN,1,1.02,0,0
T104015,2025-06-01 19:56:00,C1074,18.46,electronics,VN,1,45.85,1,0
T103354,2025-06-01 19:57:00,C1277,6.63,clothing,VN,1,5.37,0,0
T102513,2025-06-01 20:00:00,C1278,7.98,clothing,VN,0,15.34,0,0
T100911,2025-06-01 20:02:00,C1191,24.84,restaurant,VN,1,5.2,0,0
T105098,2025-06-01 20:11:00,C1114,48.2,grocery,VN,0,3.14,1,0
T105587,2025-06-01 20:11:00,C1205,28.55,gaming,VN,0,33.52,1,0
T100250,2025-06-01 20:19:00,C1268,30.95,restaurant,VN,1,15.27,2,0
T102533,2025-06-01 20:26:00,C1171,8.7,travel,VN,1,21.13,3,0
T100086,2025-06-01 20:42:00,C1189,34.21,restaurant,VN,0,3.88,0,0
T102545,2025-06-01 21:08:00,C1040,11.3,clothing,VN,1,9.29,0,0
T102750,2025-06-01 21:10:00,C1320,29.92,grocery,VN,0,11.21,0,0
T104008,2025-06-01 21:20:00,C1265,185.14,electronics,BR,0,0.48,4,1
T100599,2025-06-01 21:52:00,C1003,21.28,electronics,VN,0,5.51,1,0
T102374,2025-06-01 22:11:00,C1151,32.02,gaming,VN,1,7.9,0,0
T104671,2025-06-01 22:13:00,C1208,11.26,travel,VN,1,5.75,1,0
T102098,2025-06-01 22:18:00,C1317,32.34,electronics,BR,0,0.07,0,1
T105594,2025-06-02 00:22:00,C1122,26.0,grocery,VN,0,2.41,0,0
T104977,2025-06-02 00:26:00,C1315,5.27,restaurant,VN,0,19.43,0,0
T100923,2025-06-02 01:07:00,C1287,8.96,fuel,VN,1,15.51,0,0
T103509,2025-06-02 01:39:00,C1367,15.01,electronics,VN,1,0.43,0,0
T105125,2025-06-02 01:45:00,C1149,32.28,grocery,VN,1,3.45,2,0
T100643,2025-06-02 03:03:00,C1357,77.9,gaming,RU,0,0.41,4,1
T104545,2025-06-02 03:45:00,C1251,9.0,travel,VN,1,5.83,1,0
T102433,2025-06-02 05:45:00,C1089,7.03,travel,VN,0,39.76,2,0
T104905,2025-06-02 06:12:00,C1049,30.8,grocery,VN,1,2.57,0,0
T104699,2025-06-02 07:00:00,C1148,13.97,grocery,VN,1,17.08,0,0
T105907,2025-06-02 07:14:00,C1170,30.37,electronics,VN,1,7.52,2,0
T101518,2025-06-02 07:42:00,C1041,77.55,clothing,VN,1,1.44,0,0
T104620,2025-06-02 07:48:00,C1245,9.38,restaurant,VN,1,44.72,0,0
T105441,2025-06-02 07:48:00,C1318,52.95,gaming,VN,1,9.42,0,0
T104756,2025-06-02 08:03:00,C1392,6.05,travel,VN,1,3.66,0,0
T102628,2025-06-02 08:21:00,C1088,5.81,clothing,VN,0,2.62,0,0
T101269,2025-06-02 08:22:00,C1195,38.1,gaming,VN,1,1.41,0,0
T103346,2025-06-02 08:31:00,C1012,16.07,travel,VN,1,89.46,1,0
T104691,2025-06-02 09:05:00,C1023,4.06,fuel,VN,1,33.8,0,0
T102827,2025-06-02 09:21:00,C1382,23.15,restaurant,VN,1,3.29,1,0
T101070,2025-06-02 09:32:00,C1239,6.41,grocery,VN,0,7.36,1,0
T105793,2025-06-02 09:48:00,C1152,18.74,travel,VN,0,65.08,0,0
T104869,2025-06-02 09:49:00,C1112,18.88,clothing,VN,0,31.39,0,0
T102902,2025-06-02 10:00:00,C1317,43.92,clothing,VN,1,59.76,2,0
T100399,2025-06-02 10:01:00,C1352,29.02,electronics,VN,1,18.58,0,0
T104769,2025-06-02 10:04:00,C1047,13.45,grocery,VN,0,5.02,0,0
T103080,2025-06-02 10:10:00,C1002,58.98,restaurant,VN,1,1.83,2,0
T100418,2025-06-02 10:20:00,C1038,16.24,travel,VN,0,3.42,1,0
T103395,2025-06-02 10:27:00,C1336,10.79,restaurant,VN,0,8.89,1,0
T103321,2025-06-02 10:31:00,C1297,20.71,gaming,VN,0,3.42,2,0
T102386,2025-06-02 10:36:00,C1093,10.02,pharmacy,RU,0,18.84,0,0
T102380,2025-06-02 10:38:00,C1143,51.49,travel,VN,0,10.79,0,0
T103962,2025-06-02 10:43:00,C1185,40.9,travel,VN,0,16.36,1,0
T103064,2025-06-02 11:04:00,C1316,22.64,electronics,VN,0,21.56,0,0
T103343,2025-06-02 11:08:00,C1086,35.68,clothing,VN,1,1.17,0,0
T101182,2025-06-02 11:11:00,C1367,47.92,clothing,VN,0,2.21,0,0
T105332,2025-06-02 11:15:00,C1243,21.32,gaming,VN,1,7.79,0,0
T105851,2025-06-02 11:23:00,C1001,24.71,restaurant,VN,0,13.43,0,0
T105525,2025-06-02 11:24:00,C1318,28.26,fuel,VN,0,3.14,1,0
T101099,2025-06-02 11:35:00,C1321,30.73,pharmacy,VN,0,2.3,1,0
T104978,2025-06-02 11:54:00,C1234,10.41,electronics,VN,0,1.52,0,0
T102032,2025-06-02 12:11:00,C1256,17.61,restaurant,VN,0,10.18,1,0
T101790,2025-06-02 12:16:00,C1366,96.19,fuel,VN,0,5.29,0,0
T102020,2025-06-02 12:39:00,C1074,21.44,clothing,VN,1,20.22,0,0
T103392,2025-06-02 12:46:00,C1269,7.27,gaming,VN,0,14.09,0,0
T105329,2025-06-02 13:31:00,C1035,33.59,fuel,VN,1,11.28,0,0
T100583,2025-06-02 13:35:00,C1153,17.93,pharmacy,VN,1,39.99,0,0
T103973,2025-06-02 13:45:00,C1006,38.57,clothing,VN,0,31.75,0,0
T103347,2025-06-02 13:47:00,C1220,131.02,fuel,VN,1,70.87,0,0
T104557,2025-06-02 13:52:00,C1211,14.68,gaming,VN,0,6.31,0,0
T103245,2025-06-02 14:38:00,C1102,14.78,pharmacy,VN,1,11.38,0,0
T100334,2025-06-02 14:40:00,C1059,40.67,pharmacy,VN,0,3.92,0,0
T103702,2025-06-02 14:50:00,C1097,20.88,travel,VN,1,4.65,2,0
T100566,2025-06-02 14:51:00,C1047,39.93,fuel,VN,1,17.1,0,0
T103894,2025-06-02 15:05:00,C1137,5.1,travel,SG,1,16.64,0,0
T105142,2025-06-02 15:18:00,C1341,22.86,restaurant,VN,1,5.72,3,0
T104727,2025-06-02 15:24:00,C1326,23.39,restaurant,VN,1,1.89,2,0
T105922,2025-06-02 15:51:00,C1208,8.68,clothing,VN,0,9.34,0,0
T105431,2025-06-02 15:57:00,C1278,15.97,travel,VN,0,4.19,0,0
T101947,2025-06-02 16:02:00,C1348,141.98,electronics,VN,1,2.96,0,0
T104805,2025-06-02 16:07:00,C1293,19.79,electronics,SG,1,5.21,1,0
T102774,2025-06-02 16:16:00,C1340,6.57,grocery,VN,1,5.98,0,0
T100106,2025-06-02 16:23:00,C1349,67.07,grocery,VN,0,1.55,0,0
T103284,2025-06-02 16:26:00,C1005,51.46,restaurant,VN,1,20.46,0,0
T104607,2025-06-02 16:26:00,C1007,34.88,travel,VN,0,6.56,0,0
T103157,2025-06-02 16:27:00,C1113,12.54,pharmacy,US,1,11.08,0,0
T104383,2025-06-02 16:35:00,C1388,119.3,fuel,VN,1,1.51,0,0
T101238,2025-06-02 16:40:00,C1265,17.81,fuel,RU,1,4.28,1,0
T105714,2025-06-02 16:46:00,C1308,32.54,clothing,VN,1,3.02,2,0
T101817,2025-06-02 16:47:00,C1083,7.48,grocery,VN,1,4.94,0,0
T103486,2025-06-02 16:52:00,C1352,13.71,pharmacy,VN,0,1.34,0,0
T101220,2025-06-02 16:53:00,C1367,29.37,restaurant,VN,0,53.54,0,0
T100111,2025-06-02 16:56:00,C1071,29.98,restaurant,VN,0,45.55,0,0
T102772,2025-06-02 16:57:00,C1009,36.87,travel,RU,1,13.98,1,0
T103675,2025-06-02 17:04:00,C1201,5.73,pharmacy,NG,0,1.39,1,0
T102473,2025-06-02 17:05:00,C1067,6.81,pharmacy,VN,1,177.66,0,0
T100834,2025-06-02 17:06:00,C1342,38.08,grocery,VN,0,6.84,2,0
T101151,2025-06-02 17:08:00,C1155,65.53,gaming,VN,0,4.26,0,0
T104399,2025-06-02 17:10:00,C1213,56.98,travel,VN,1,5.83,0,0
T100291,2025-06-02 17:13:00,C1370,23.42,travel,VN,1,27.72,0,0
T101968,2025-06-02 17:25:00,C1377,8.98,clothing,SG,1,13.62,0,0
T103619,2025-06-02 17:27:00,C1134,116.98,fuel,VN,0,52.32,2,0
T101785,2025-06-02 17:28:00,C1030,35.94,gaming,VN,0,25.08,2,0
T103981,2025-06-02 17:29:00,C1336,60.79,gaming,VN,1,0.88,0,0
T103344,2025-06-02 17:36:00,C1398,6.91,electronics,VN,1,3.68,1,0
T101162,2025-06-02 17:56:00,C1260,39.38,travel,VN,0,14.03,0,0
T104195,2025-06-02 18:08:00,C1081,4.45,restaurant,VN,1,11.04,0,0
T104676,2025-06-02 18:14:00,C1316,91.82,pharmacy,US,0,13.94,2,0
T102992,2025-06-02 18:28:00,C1157,44.75,restaurant,VN,0,15.25,0,0
T101445,2025-06-02 18:40:00,C1289,13.32,fuel,VN,1,4.96,1,0
T101480,2025-06-02 18:40:00,C1254,35.33,grocery,GB,0,11.17,0,0
T103181,2025-06-02 18:40:00,C1039,13.26,pharmacy,VN,0,1.85,0,0
T100096,2025-06-02 18:55:00,C1021,21.19,grocery,GB,1,338.5,0,0
T102553,2025-06-02 18:55:00,C1312,14.1,grocery,VN,1,41.11,3,0
T100070,2025-06-02 19:09:00,C1218,19.77,pharmacy,VN,1,13.46,1,0
T100068,2025-06-02 19:14:00,C1082,71.15,grocery,VN,0,5.8,2,0
T102405,2025-06-02 19:15:00,C1150,15.8,electronics,VN,0,12.48,1,0
T104175,2025-06-02 19:39:00,C1157,114.36,gaming,RU,0,3.61,4,1
T102298,2025-06-02 19:48:00,C1157,16.73,gaming,VN,1,0.65,0,0
T105384,2025-06-02 19:58:00,C1335,8.99,restaurant,VN,1,6.0,0,0
T101408,2025-06-02 20:06:00,C1176,6.63,electronics,VN,1,2.53,3,0
T101969,2025-06-02 20:18:00,C1335,44.5,electronics,VN,0,8.9,0,0
T102470,2025-06-02 20:22:00,C1193,17.0,pharmacy,VN,1,16.16,1,0
T102529,2025-06-02 20:39:00,C1247,12.03,travel,VN,1,15.29,1,0
T102801,2025-06-02 21:59:00,C1345,21.81,clothing,VN,1,1.42,0,0
T101845,2025-06-02 22:22:00,C1134,38.63,restaurant,VN,1,10.2,0,0
T100009,2025-06-02 23:11:00,C1225,30.03,fuel,VN,1,7.26,2,0
T104102,2025-06-03 00:23:00,C1161,27.89,electronics,BR,0,0.17,6,1
T105115,2025-06-03 01:23:00,C1123,9.64,travel,SG,1,0.92,0,0
T102168,2025-06-03 01:51:00,C1339,61.63,gaming,VN,0,1.39,4,1
T104072,2025-06-03 03:16:00,C1021,9.85,travel,VN,1,3.88,0,0
T102112,2025-06-03 05:49:00,C1110,11.88,gaming,VN,0,7.08,0,0
T104943,2025-06-03 06:44:00,C1051,53.16,electronics,VN,1,25.57,0,0
T105370,2025-06-03 06:53:00,C1120,10.54,grocery,VN,0,2.81,0,0
T102307,2025-06-03 06:55:00,C1383,18.25,restaurant,VN,1,17.48,1,0
T101274,2025-06-03 07:01:00,C1052,27.18,electronics,VN,1,8.55,0,0
T100849,2025-06-03 07:13:00,C1239,11.01,travel,VN,0,9.66,0,0
T102760,2025-06-03 08:04:00,C1132,24.11,gaming,VN,1,14.92,1,0
T100874,2025-06-03 08:10:00,C1073,52.03,fuel,VN,1,38.88,0,0
T102151,2025-06-03 08:21:00,C1248,16.59,grocery,VN,0,4.84,1,0
T104767,2025-06-03 08:50:00,C1339,4.57,grocery,VN,0,44.99,0,0
T105119,2025-06-03 09:13:00,C1124,3.42,gaming,VN,1,9.22,1,0
T100723,2025-06-03 09:21:00,C1321,7.95,electronics,VN,1,50.08,0,0
T100938,2025-06-03 09:21:00,C1157,39.12,travel,VN,1,17.61,0,0
T101670,2025-06-03 09:24:00,C1269,12.85,fuel,VN,1,4.67,1,0
T103775,2025-06-03 09:51:00,C1009,20.26,gaming,VN,1,61.43,0,0
T100659,2025-06-03 09:56:00,C1357,27.22,gaming,VN,1,7.13,0,0
T104310,2025-06-03 10:02:00,C1245,84.0,gaming,VN,1,17.38,1,0
T105459,2025-06-03 10:03:00,C1335,21.11,fuel,VN,0,6.81,0,0
T105049,2025-06-03 10:27:00,C1295,27.69,gaming,VN,1,3.56,0,0
T100627,2025-06-03 10:44:00,C1066,30.04,clothing,VN,0,26.31,1,0
T104623,2025-06-03 10:46:00,C1184,30.69,pharmacy,VN,0,18.15,1,0
T102614,2025-06-03 10:50:00,C1194,7.32,fuel,SG,0,18.89,0,0
T102215,2025-06-03 11:15:00,C1310,18.71,restaurant,RU,0,22.77,0,0
T101388,2025-06-03 11:19:00,C1305,19.07,fuel,VN,0,1.96,1,0
T105554,2025-06-03 11:26:00,C1160,20.24,electronics,VN,1,3.25,0,0
T100451,2025-06-03 11:35:00,C1146,20.66,gaming,VN,1,12.41,3,0
T103942,2025-06-03 11:37:00,C1312,13.31,travel,VN,0,18.89,2,0
T103491,2025-06-03 11:38:00,C1326,171.74,pharmacy,VN,0,1.2,0,0
T100692,2025-06-03 11:52:00,C1343,95.14,travel,VN,1,9.34,0,0
T101882,2025-06-03 11:52:00,C1197,16.28,travel,VN,1,3.48,0,0
T105759,2025-06-03 11:55:00,C1121,19.3,pharmacy,VN,0,45.83,0,0
T103569,2025-06-03 11:56:00,C1216,62.06,electronics,VN,1,4.02,0,0
T102209,2025-06-03 11:57:00,C1025,25.12,grocery,VN,0,27.43,2,0
T101897,2025-06-03 12:35:00,C1024,7.18,gaming,VN,1,5.45,0,0
T104034,2025-06-03 12:57:00,C1344,15.79,gaming,VN,1,1.7,0,0
T105747,2025-06-03 13:14:00,C1388,8.79,travel,VN,1,1.47,3,0
T101639,2025-06-03 13:18:00,C1268,29.39,grocery,VN,0,2.92,2,0
T103301,2025-06-03 13:32:00,C1168,24.52,fuel,VN,1,20.21,0,0
T102034,2025-06-03 13:35:00,C1287,41.31,fuel,VN,0,2.14,0,0
T105994,2025-06-03 13:40:00,C1372,62.33,electronics,VN,1,4.95,3,0
T104045,2025-06-03 13:45:00,C1252,8.62,grocery,VN,1,17.41,2,0
T100934,2025-06-03 14:07:00,C1363,26.41,fuel,VN,1,4.04,0,0
T102512,2025-06-03 14:09:00,C1241,32.76,clothing,VN,0,4.32,2,0
T104269,2025-06-03 15:02:00,C1169,9.23,gaming,VN,1,2.93,2,0
T103778,2025-06-03 15:06:00,C1297,18.91,grocery,VN,1,2.5,0,0
T103696,2025-06-03 15:10:00,C1131,20.97,grocery,VN,1,31.09,3,0
T102974,2025-06-03 15:36:00,C1011,36.03,electronics,VN,0,3.53,0,0
T103307,2025-06-03 15:44:00,C1392,14.63,gaming,VN,0,8.68,0,0
T104976,2025-06-03 15:51:00,C1235,120.61,restaurant,VN,1,8.96,2,0
T102571,2025-06-03 16:06:00,C1160,40.38,grocery,RU,0,23.45,2,0
T100040,2025-06-03 16:07:00,C1220,32.94,clothing,VN,0,2.43,0,0
T101747,2025-06-03 16:24:00,C1008,21.04,electronics,VN,1,10.19,1,0
T101682,2025-06-03 16:40:00,C1208,15.13,electronics,VN,1,1.1,1,0
T103708,2025-06-03 17:15:00,C1317,14.01,fuel,VN,1,55.27,0,0
T104789,2025-06-03 17:28:00,C1110,10.7,fuel,VN,1,4.58,0,0
T105523,2025-06-03 17:34:00,C1363,27.16,electronics,VN,1,0.62,0,0
T102952,2025-06-03 17:44:00,C1091,33.49,travel,VN,0,24.76,0,0
T101152,2025-06-03 17:49:00,C1360,76.07,fuel,VN,1,2.93,0,0
T104768,2025-06-03 18:01:00,C1226,39.07,grocery,VN,0,6.69,1,0
T101728,2025-06-03 18:08:00,C1060,28.86,restaurant,VN,1,4.81,3,0
T105845,2025-06-03 18:10:00,C1166,11.04,pharmacy,VN,1,13.14,0,0
T100053,2025-06-03 18:25:00,C1161,19.57,clothing,VN,1,3.22,0,0
T102190,2025-06-03 18:27:00,C1196,62.39,travel,VN,1,29.6,0,0
T102277,2025-06-03 18:32:00,C1372,37.49,travel,VN,1,4.1,0,0
T101890,2025-06-03 18:47:00,C1113,49.24,grocery,VN,1,0.21,2,0
T102706,2025-06-03 19:32:00,C1112,32.89,electronics,VN,1,26.7,1,0
T100243,2025-06-03 19:44:00,C1030,183.29,grocery,VN,0,0.68,2,0
T105086,2025-06-03 19:57:00,C1256,30.27,grocery,VN,1,8.53,0,0
T101783,2025-06-03 19:59:00,C1396,3.22,pharmacy,VN,1,7.16,2,0
T102391,2025-06-03 19:59:00,C1319,56.51,fuel,VN,1,17.39,0,0
T105251,2025-06-03 20:02:00,C1265,19.93,travel,VN,1,2.44,0,0
T103098,2025-06-03 20:08:00,C1012,8.83,clothing,VN,1,2.48,0,0
T105647,2025-06-03 20:20:00,C1043,49.66,fuel,VN,1,3.73,1,0
T105936,2025-06-03 20:30:00,C1059,34.39,gaming,VN,0,0.96,0,0
T104940,2025-06-03 20:44:00,C1232,53.55,travel,VN,1,12.76,0,0
T104006,2025-06-03 21:07:00,C1387,14.43,clothing,VN,1,13.91,1,0
T101777,2025-06-03 21:19:00,C1364,8.61,pharmacy,VN,1,0.81,0,0
T100448,2025-06-03 21:23:00,C1001,28.11,pharmacy,VN,1,2.18,0,0
T100556,2025-06-03 22:56:00,C1170,34.81,clothing,VN,0,616.58,2,0
T104862,2025-06-04 02:39:00,C1211,7.83,electronics,VN,0,1.81,1,0
T102554,2025-06-04 03:47:00,C1032,409.49,clothing,VN,0,0.57,2,1
T104424,2025-06-04 04:48:00,C1233,43.4,electronics,VN,0,1.64,3,1
T105341,2025-06-04 05:00:00,C1015,26.75,electronics,SG,1,84.28,2,0
T105824,2025-06-04 05:03:00,C1379,24.25,pharmacy,VN,0,47.85,3,0
T100628,2025-06-04 05:51:00,C1331,31.91,grocery,VN,0,3.73,0,0
T102308,2025-06-04 06:09:00,C1239,86.58,fuel,VN,1,2.72,0,0
T104433,2025-06-04 06:16:00,C1184,12.68,pharmacy,VN,1,18.1,1,0
T101623,2025-06-04 06:17:00,C1256,8.06,pharmacy,VN,1,3.14,1,0
T101014,2025-06-04 06:41:00,C1260,51.18,travel,VN,0,9.82,0,0
T103123,2025-06-04 06:52:00,C1379,52.16,gaming,VN,1,30.18,0,0
T102802,2025-06-04 07:06:00,C1396,7.55,pharmacy,VN,1,1.96,0,0
T100436,2025-06-04 07:45:00,C1083,5.57,clothing,VN,1,2.71,0,0
T103002,2025-06-04 08:02:00,C1355,6.25,restaurant,VN,1,5.28,0,0
T103748,2025-06-04 08:07:00,C1181,12.91,restaurant,VN,1,1.07,1,0
T103332,2025-06-04 08:49:00,C1389,2.31,pharmacy,VN,0,53.48,0,0
T105413,2025-06-04 08:55:00,C1092,18.36,pharmacy,VN,1,3.77,0,0
T102652,2025-06-04 08:58:00,C1254,7.93,pharmacy,VN,0,4.0,0,0
T105715,2025-06-04 09:02:00,C1242,37.82,pharmacy,VN,0,89.66,0,0
T101068,2025-06-04 09:05:00,C1330,20.6,clothing,VN,1,15.99,1,0
T102724,2025-06-04 09:09:00,C1067,25.59,gaming,VN,0,36.09,0,0
T101415,2025-06-04 09:21:00,C1112,6.62,electronics,VN,1,95.16,0,0
T102183,2025-06-04 09:45:00,C1354,12.67,grocery,VN,0,57.26,1,0
T102155,2025-06-04 09:46:00,C1246,62.07,pharmacy,VN,0,16.33,0,0
T105799,2025-06-04 09:50:00,C1152,38.06,clothing,VN,1,19.55,0,0
T102501,2025-06-04 09:55:00,C1319,8.6,electronics,VN,1,3.84,1,0
T104822,2025-06-04 09:55:00,C1399,7.98,grocery,VN,1,37.54,0,0
T100709,2025-06-04 10:12:00,C1255,3.38,travel,VN,1,4.3,0,0
T103488,2025-06-04 10:21:00,C1091,5.55,travel,BR,0,0.86,0,0
